question,answer
What happens when an officer makes an order of attachment on a property?,"The officer may make an order of attachment directing that such property shall not be transferred or otherwise dealt with, except with the prior permission of the officer making such order."
What needs to happen for the order made under sub-section (1) to have effect?,"The order made under sub-section (1) shall have no effect unless the said order is confirmed by an order of the said Court, within a period of thirty days of its being made."
How long does the court have to confirm an order made under sub-section (1) for it to take effect?,The court has a period of thirty days to confirm the order for it to take effect.
Who can the Court appoint to manage properties seized or forfeited under this Chapter?,"The Court may appoint the District Magistrate of the area where the property is situated, or any other officer that may be nominated by the District Magistrate, to perform the functions of an Administrator of such property."
Who does the Court appoint to perform the functions of an Administrator for properties seized or forfeited under a specific Chapter in the area where the property is situated?,"The Court appoints the District Magistrate of that area, or any other officer that may be nominated by the District Magistrate."
What is the role of the Administrator appointed under sub-section (1)?,The Administrator appointed under sub-section (1) shall receive and manage the property in relation to which the order has been made under sub-section (1) of section 105E or under section 105H in such manner and subject to such conditions.
Who is responsible for receiving and managing the property in relation to which the order has been made under sub-section (1) of section 105E or under section 105H in such manner and subject to such conditions?,The Administrator appointed under sub-section (1) is responsible for this.
Who is responsible for disposing of the property forfeited to the Central Government?,The Administrator
Who disposes of the property forfeited to the Central Government?,The Administrator
Under what circumstances may the Court serve a notice of forfeiture of property?,"If as a result of the inquiry, investigation or survey under section 105D, the Court has reason to believe that all or any of such properties are proceeds of crime"
What is the reason for the Court to serve a notice of forfeiture of property under section 105D?,"If the Court has reason to believe that all or any of such properties are proceeds of crime as a result of the inquiry, investigation or survey"
What is the person affected required to do after receiving a notice of forfeiture?,"The person affected is required to indicate the source of income, earnings or assets, out of which or by means of which he has acquired such property, the evidence on which he relies and other relevant information and particulars, and to show cause why all or any of such properties, as the case may be, should not be declared to be proceeds of crime and forfeited to the Central Government."
"What is a person is supposed to do when they receive a notice of forfeiture in terms of indicating their source of income, providing evidence, and showing cause why their property should not be declared as proceeds of crime?","The person affected is required to indicate the source of income, earnings or assets, out of which or by means of which he has acquired such property, the evidence on which he relies and other relevant information and particulars, and to show cause why all or any of such properties, as the case may be, should not be declared to be proceeds of crime and forfeited to the Central Government."
What is the time period given to the person affected to respond to the notice of forfeiture?,Thirty days
How many days does a person affected have to respond to a notice of forfeiture?,Thirty days
What does the court do after considering the response to the show-cause notice issued under section 105G?,"The Court may, after considering the explanation, record a finding whether all or any of the properties in question are proceeds of crime."
What is the action taken by the court after considering the explanation for the show-cause notice issued under section 105G in relation to the properties in question?,The Court may record a finding determining if all or any of the properties in question are proceeds of crime.
What happens if the person affected does not appear before the Court or represent his case within a period of thirty days specified in the show-cause notice?,The Court may proceed to record a finding.
What may the court do if the person affected does not appear or represent his case within the specified thirty day period given in the show-cause notice?,The Court may proceed to record a finding.
Who else is given a reasonable opportunity of being heard apart from the person affected?,"In a case where the person affected holds any property specified in the notice through any other person, such other person is also given a reasonable opportunity of being heard."
Who is given a reasonable opportunity of being heard when the person affected holds any property specified in the notice through another person?,Such other person is also given a reasonable opportunity of being heard.
What are the conditions for the forfeiture of property in certain cases?,"The Court may forfeit the property after considering the explanation to the show-cause notice issued under section 105G, the material available before it and after giving the person affected a reasonable opportunity of being heard."
How does a court decide to forfeit a property under section 105G?,"The Court may decide to forfeit the property after considering the explanation to the show-cause notice issued under section 105G, the material available before it and after giving the person affected a reasonable opportunity of being heard."
What happens when the Court is satisfied that some properties are proceeds of crime but can't identify them specifically?,"It is lawful for the Court to specify the properties which, to the best of its judgment, are proceeds of crime and record a finding accordingly."
What is the legal action for a Court when it can't specifically identify properties but is certain that they are proceeds of crime?,"It is lawful for the Court to specify the properties which, to the best of its judgment, are proceeds of crime and record a finding accordingly."
What happens to a property if the Court records a finding that it is proceeds of crime?,Such property shall stand forfeited to the Central Government free from all encumbrances.
What happens to a property that stands forfeited to the Central Government free from all encumbrances?,The property was likely determined by the Court as proceeds of crime.
What happens to shares in a company that stand forfeited to the Central Government?,"The company shall, notwithstanding anything contained in the Companies Act, 1956 (1 of 1956) or the articles of association of the company, forthwith register the Central Government as the transferee of such shares."
"Who is registered as the transferee of shares that have been forfeited to the Central Government, according to the Companies Act, 1956 (1 of 1956)?",The Central Government is registered as the transferee of such shares.
What happens when the court makes a declaration that any property stands forfeited to the Central Government under section 105H?,"The Court shall make an order giving an option to the person affected to pay, in lieu of forfeiture, a fine equal to the market value of the part of such property whose source has not been proved to the satisfaction of the court."
"What does the court do when it has declared that property is forfeited to the Central Government under section 105H, but the source of part of the property hasn't been proven to its satisfaction?","The Court gives an option to the person affected to pay, in lieu of forfeiture, a fine equal to the market value of that part of the property."
What should happen before making an order imposing a fine under sub-section (1)?,The person affected shall be given a reasonable opportunity of being heard.
Who should be given a reasonable opportunity of being heard before an order imposing a fine under sub-section (1) is made?,The person affected.
What happens if the person affected pays the fine due under sub-section (1) within the allowed time?,"The Court may, by order, revoke the declaration of forfeiture under section 105H and thereupon such property shall stand released."
What does the court do if the fine due under sub-section (1) is paid within the allowed time?,"The Court may, by order, revoke the declaration of forfeiture under section 105H and thereupon such property shall stand released."
What happens to any property referred to in the said order or notice after the making of an order under sub-section (1) of section 105E or the issue of a notice under section 105G?,The transfer of such property would be considered null and void.
What would be the status of the transfer of a property referred to in an order under sub-section (1) of section 105E or a notice under section 105G?,The transfer of such property would be considered null and void.
What happens to the transfer of property that is subsequently forfeited to the Central Government under section 105H?,The transfer of such property shall be deemed to be null and void.
What is the status of the transfer of property that is forfeited to the Central Government under section 105H?,The transfer of such property is deemed to be null and void.
"What is the procedure for transmitting a letter of request, summons, or warrant under section 105K?","Every letter of request, summons or warrant, to be transmitted to a contracting State under this Chapter shall be transmitted to a contracting State or, as the case may be, sent to the concerned Court in India in such form and in such manner as the Central Government may, by notification, specify in this behalf."
"To whom and how should a letter of request, summons or warrant under section 105K be transmitted?","Every letter of request, summons or warrant, to be transmitted to a contracting State under this Chapter shall be transmitted to a contracting State or, as the case may be, sent to the concerned Court in India in such form and in such manner as the Central Government may, by notification, specify in this behalf."
How can the Central Government change the application of this Chapter according to section 105L?,"The Central Government may, by notification in the Official Gazette, direct that the application of this Chapter in relation to a contracting State with which reciprocal arrangements have been made, shall be subject to such conditions."
What is the process for the Central Government to modify the application of a chapter in relation to a contracting State with which reciprocal arrangements have been made?,"The Central Government may, by notification in the Official Gazette, direct that the application of this Chapter shall be subject to certain conditions, according to section 105L."
What is the purpose of a security for keeping the peace on conviction?,"The purpose of a security for keeping the peace on conviction is to ensure that a person who has been convicted of certain offences maintains peace. This is achieved by having the person execute a bond, with or without sureties, for a period not exceeding three years."
"What is achieved by having a convicted person execute a bond, with or without sureties, for a period not exceeding three years?","By having a convicted person execute a bond, with or without sureties, for a period not exceeding three years, it ensures that the person maintains peace. This is the purpose of a security for keeping the peace on conviction."
Who can order a person to execute a bond for keeping the peace?,A Court of Session or Court of a Magistrate of the first class can order a person to execute a bond for keeping the peace.
Who can a Court of Session or Court of a Magistrate of the first class order to execute a bond for keeping the peace?,A Court of Session or Court of a Magistrate of the first class can order any person to execute a bond for keeping the peace.
What types of offenses can lead to a person being required to execute a bond for keeping the peace?,"A person can be required to execute a bond for keeping the peace if they are convicted of any of the offences specified in sub-section (2), or of abetting any such offence. These offences include any offence punishable under Chapter VIII of the Indian Penal Code, other than an offence punishable under section 153A, 153B or 154 thereof, and any offence which consists of, or includes, assault or using criminal force."
Under what conditions and for which offences might a person be asked to execute a bond for keeping the peace according to the Indian Penal Code?,"If a person is convicted of any of the offences specified in sub-section (2), or of abetting any such offence, they may be required to execute a bond for keeping the peace. The offences that can lead to this include any offence punishable under Chapter VIII of the Indian Penal Code, apart from an offence punishable under section 153A, 153B or 154 thereof, and any offence which consists of, or includes, assault or using criminal force."
What is considered as an offence of criminal intimidation?,The text does not provide specific details on what is considered as an offence of criminal intimidation.
Does the text provide specific details on what is considered as an offence of criminal intimidation?,"No, the text does not provide specific details on what is considered as an offence of criminal intimidation."
What happens if a conviction is set aside on appeal?,"If the conviction is set aside on appeal or otherwise, the bond so executed shall become void."
What becomes void if a conviction is set aside on appeal or otherwise?,The bond so executed becomes void if a conviction is set aside on appeal or otherwise.
Can an order under this section be made by an Appellate Court or by a Court when exercising its powers of revision?,"Yes, an order under this section may also be made by an Appellate Court or by a Court when exercising its powers of revision."
"Who else, apart from the Appellate Court, can make an order under this section when exercising powers of revision?",A Court can also make an order under this section when exercising its powers of revision.
What action can an Executive Magistrate take when they receive information that any person is likely to commit a breach of the peace or disturb the public tranquillity?,"The Executive Magistrate may require such person to show cause why he should not be ordered to execute a bond for keeping the peace for such period, not exceeding one year, as the Magistrate thinks fit."
What can an Executive Magistrate do if a person is likely to disturb public tranquility or commit a breach of peace?,"The Executive Magistrate can require the person to show cause why they should not be ordered to execute a bond for keeping the peace for a period, not exceeding one year, which the Magistrate deems appropriate."
Where can proceedings under this section be taken?,Proceedings under this section may be taken before any Executive Magistrate.
Before whom may proceedings under this section be taken?,Proceedings under this section may be taken before any Executive Magistrate.
When can these proceedings be taken before any Executive Magistrate?,These proceedings can be taken when either the place where the breach of the peace or disturbance is apprehended is within his local jurisdiction or there is within such jurisdiction a person who is likely to commit a breach of the peace or disturb the public tranquillity or to do any wrongful act beyond such jurisdiction.
Under what circumstances can proceedings be taken before an Executive Magistrate?,Proceedings can be taken before an Executive Magistrate when either the place where the breach of the peace or disturbance is apprehended is within his local jurisdiction or there is within such jurisdiction a person who is likely to commit a breach of the peace or disturb the public tranquillity or to do any wrongful act beyond such jurisdiction.
What is the role of an Executive Magistrate in the context of disseminating seditious matters?,"The Executive Magistrate can act when he receives information that there is within his local jurisdiction any person who, within or without such jurisdiction, either orally or in writing or in any other manner, intentionally disseminates or attempts to disseminate or abets the dissemination of any matter the publication of which is punishable under certain sections of the Indian Penal Code."
Under what circumstances can an Executive Magistrate take action in his local jurisdiction related to the dissemination of seditious matters?,"The Executive Magistrate can take action when he receives information that there is any person who, either within or without his jurisdiction, orally or in writing or in any other manner, intentionally disseminates or attempts to disseminate or abets the dissemination of any matter, the publication of which is punishable under certain sections of the Indian Penal Code."
What is considered punishable under this section?,The dissemination of any matter the publication of which is punishable under section 124A or section 153A or section 153B or section 295A of the Indian Penal Code is considered punishable under this section.
"What does the punishment under section 124A, section 153A, section 153B, or section 295A of the Indian Penal Code apply to?",The punishment under these sections applies to the dissemination of any matter the publication of which is considered punishable under this section.
What amounts to criminal intimidation or defamation under the Indian Penal Code (45 of 1860) concerning a Judge?,Acting or purporting to act in the discharge of his official duties.
What does acting or purporting to act in the discharge of his official duties amount to under the Indian Penal Code (45 of 1860) concerning a Judge?,Criminal intimidation or defamation
What is referred to in section 292 of the Indian Penal Code (45 of 1860)?,"Making, producing, publishing or keeping for sale, importing, exporting, conveying, selling, letting to hire, distributing, publicly exhibiting or in any other manner putting into circulation any obscene matter."
"Which section of the Indian Penal Code (45 of 1860) refers to making, producing, publishing or keeping for sale, importing, exporting, conveying, selling, letting to hire, distributing, publicly exhibiting or in any other manner putting into circulation any obscene matter?",Section 292
What can a Magistrate require if there is sufficient ground for proceeding?,"The Magistrate can require such person to show cause why he should not be ordered to execute a bond, with or without sureties, for his good behaviour for such period, not exceeding one year, as the Magistrate thinks fit."
"What can the Magistrate do if a person needs to show cause why he should not be ordered to execute a bond, with or without sureties, for his good behaviour for such period, not exceeding one year, as the Magistrate thinks fit?","If there is sufficient ground for proceeding, the Magistrate can require such person to show cause."
Who is protected from proceedings under this section?,"The editor, proprietor, printer or publisher of any publication registered under, and edited, printed and published in conformity with, the rules."
"What is the role or job position of the person protected from proceedings under a certain section, assuming they register and work in conformity with the rules?","The editor, proprietor, printer or publisher of any publication"
What is the Press and Registration of Books Act?,"The Press and Registration of Books Act is a law enacted in 1867 (25 of 1867), which lays down rules regarding the press and book registration."
"Which law, enacted in 1867, lays down rules regarding the press and book registration?",The Press and Registration of Books Act.
Who has the authority to make exceptions to the rules in the Press and Registration of Books Act?,Exceptions to the rules in the Press and Registration of Books Act can only be made by the order or under the authority of the State Government or an officer empowered by the State Government.
Who can make exceptions to the rules in the Press and Registration of Books Act?,The State Government or an officer empowered by the State Government
What can an Executive Magistrate do when he receives information about a person concealing his presence with a view to committing a cognizable offence?,"The Executive Magistrate may require such person to show cause why he should not be ordered to execute a bond, with or without sureties, for his good behaviour for a period not exceeding one year."
What action can an Executive Magistrate take if he wants to ensure the good behaviour of a person suspected of concealing his presence with the intent to commit a cognizable offence for a period not exceeding one year?,"The Executive Magistrate may require such person to show cause why he should not be ordered to execute a bond, with or without sureties."
What action can an Executive Magistrate take against a habitual offender?,"When an Executive Magistrate receives information about a habitual offender within his local jurisdiction, he can require the person to execute a bond for good behaviour."
What happens when an Executive Magistrate receives information about a habitual offender within his local jurisdiction?,He can require the person to execute a bond for good behaviour.
"Who is described as a habitual robber, house-breaker, thief, or forger?","A person who by habit is a robber, house-breaker, thief, or forger."
"Who is a person who by habit is a robber, house-breaker, thief, or forger?","A habitual robber, house-breaker, thief, or forger is described as such a person."
Who is habitually involved in receiving stolen property knowing it's stolen?,A person who is by habit a receiver of stolen property knowing the same to have been stolen.
Who is a person that is by habit a receiver of stolen property knowing the same to have been stolen?,A person who is habitually involved in receiving stolen property knowing it's stolen
Who habitually protects or harbours thieves?,"A person who habitually protects or harbours thieves, or aids in the concealment or disposal of stolen property."
Who aids in the concealment or disposal of stolen property?,A person who habitually protects or harbours thieves.
"Who habitually commits or abets the commission of crimes like kidnapping, abduction, extortion, cheating or mischief?","A person who habitually commits, or attempts to commit, or abets the commission of, the offence of kidnapping, abduction, extortion, cheating or mischief."
"What does a person do who habitually commits, or attempts to commit, or abets the commission of, the offence of kidnapping, abduction, extortion, cheating or mischief?","They habitually commit or abet the commission of crimes like kidnapping, abduction, extortion, cheating or mischief."
Who habitually commits or abets the commission of offences involving a breach of peace?,"A person who habitually commits, or attempts to commit, or abets the commission of, offences, involving a breach of the peace."
"Who is considered to be a person who habitually commits, or attempts to commit, or abets the commission of, offences, involving a breach of the peace?",A person who habitually commits or abets the commission of offences involving a breach of peace
"Who habitually commits, or attempts to commit, or abets the commission of any offence under the Drugs and Cosmetics Act, 1940?","A person who habitually commits, or attempts to commit, or abets the commission of—any offence under one or more of the following Acts, namely:—the Drugs and Cosmetics Act, 1940 (23 of 1940)."
"Which Act does a person habitually commit, attempt to commit, or abet the commission of an offence under?","The Drugs and Cosmetics Act, 1940"
What is the Foreign Exchange Regulation Act?,The Foreign Exchange Regulation Act is a law passed in 1973 (46 of 1973).
When was the Foreign Exchange Regulation Act passed and what is its act number?,The Foreign Exchange Regulation Act was passed in 1973 and its act number is 46.
What is the Employees’ Provident Fund 2[and Family Pension Fund] Act?,The Employees’ Provident Fund 2[and Family Pension Fund] Act is a law passed in 1952 (19 of 1952).
When was the Employees’ Provident Fund 2[and Family Pension Fund] Act passed?,The Employees’ Provident Fund 2[and Family Pension Fund] Act was passed in 1952.
What is the Prevention of Food Adulteration Act?,The Prevention of Food Adulteration Act is a law passed in 1954 (37 of 1954).
Which law was passed in 1954 (37 of 1954)?,The Prevention of Food Adulteration Act was passed in 1954 (37 of 1954).
What is the Essential Commodities Act?,The Essential Commodities Act is a law passed in 1955 (10 of 1955).
When was the Essential Commodities Act passed?,The Essential Commodities Act was passed in 1955.
What is the Untouchability (Offences) Act?,The Untouchability (Offences) Act is a law passed in 1955 (22 of 1955).
When was the Untouchability (Offences) Act passed?,The Untouchability (Offences) Act was passed in 1955.
What is the Customs Act?,The Customs Act is a law passed in 1962 (52 of 1962).
When was the Customs Act passed and what is its number?,The Customs Act was passed in 1962 and its number is 52.
What is the Foreigners Act?,The Foreigners Act is a law passed in 1946 (31 of 1946).
When was the Foreigners Act passed?,The Foreigners Act was passed in 1946.
"What does the law say about offences related to hoarding, profiteering, adulteration of food, drugs, or corruption?",Any offence punishable under any other law providing for the prevention of hoarding or profiteering or of adulteration of food or drugs or of corruption is considered severe.
How does the law view offences punishable under any other law providing for the prevention of hoarding or profiteering or of adulteration of food or drugs or of corruption?,These offences are considered severe.
What can a Magistrate do if a person is considered dangerous to the community?,"The Magistrate may require such person to show cause why he should not be ordered to execute a bond, with sureties, for his good behaviour for such period, not exceeding three years, as the Magistrate thinks fit."
"What action can a Magistrate take against a person who is shown to be a potential threat to the community, and for how long can this action be enforced?","The Magistrate may require such person to show cause why he should not be ordered to execute a bond, with sureties, for his good behaviour for such period, not exceeding three years, as the Magistrate thinks fit."
What action can be taken under section 111?,The details of actions that can be taken under section 111 are not provided in the given text.
Are the details of actions that can be taken under section 111 provided in the given text?,"No, the details of actions that can be taken under section 111 are not provided in the given text."
"What should be done if it is deemed necessary to require any person to show cause under section 107, 108, 109 or 110?","An order should be made in writing, setting forth the substance of the information received, the amount of the bond to be executed, the term for which it is to be in force, and the number, character and class of sureties (if any) required."
"What should be included in a written order when it is necessary to require a person to show cause under section 107, 108, 109, or 110?","The written order should set forth the substance of the information received, the amount of the bond to be executed, the term for which it is to be in force, and the number, character, and class of sureties (if any) required."
What is the procedure if the person in respect of whom such order is made is present in Court?,"The order shall be read over to him, or, if he so desires, the substance thereof shall be explained to him."
What happens if the person in respect of whom an order is made is present in Court?,"The order shall be read over to him, or, if he so desires, the substance thereof shall be explained to him."
What should be done if such person is not present in Court?,"The Magistrate shall issue a summons requiring him to appear, or, when such person is in custody, a warrant directing the officer in whose custody he is to bring him before the Court."
"What will a Magistrate do if a person is not present in Court, either free or in custody?","The Magistrate shall issue a summons requiring him to appear, or, when such person is in custody, a warrant directing the officer in whose custody he is to bring him before the Court."
What can cause a Magistrate to issue a summons or a warrant?,"Whenever it appears to the Magistrate, upon the report of a police officer or upon other information."
Upon what circumstances does a Magistrate issue a summons or a warrant?,"Whenever it appears to the Magistrate, upon the report of a police officer or upon other information."
What can the Magistrate do if there is reason to fear the commission of a breach of the peace?,The Magistrate may at any time issue a warrant for the immediate arrest of such person.
What can the Magistrate do at any time if he wants to immediately arrest a person?,"If there is reason to fear the commission of a breach of the peace, the Magistrate may issue a warrant for the immediate arrest of such person."
What should accompany every summons or warrant issued under section 113?,Every summons or warrant should be accompanied by a copy of the order made under section 111.
What should accompany every summons or warrant under section 113?,Every summons or warrant should be accompanied by a copy of the order made under section 111.
Who delivers the copy of the order made under section 111?,"The copy of the order is delivered by the officer serving or executing such summons or warrant to the person served with, or arrested under, the same."
Who is the officer delivering the order serving or executing such summons or warrant to?,"The officer is serving or executing the summons or warrant to the person served with, or arrested under, the order made under section 111."
What power does the Magistrate have regarding personal attendance?,"The Magistrate may, if he sees sufficient cause, dispense with the personal attendance of any person called upon to show cause why he should not be ordered to execute a bond for keeping the peace or for good behaviour and may permit him to appear by a pleader."
In what circumstances can the Magistrate dispense with the personal attendance of a person called upon to show cause?,The Magistrate may dispense with the personal attendance of any person called upon to show cause why he should not be ordered to execute a bond for keeping the peace or for good behaviour if he sees sufficient cause.
What should the Magistrate do after a person is read or explained under section 112 or brought before them due to a summons or warrant under section 113?,"The Magistrate should proceed to inquire into the truth of the information upon which action has been taken, and take such further evidence as may appear necessary."
What is the procedure that a Magistrate should follow after a person is read or explained under section 112 or brought before them due to a summons or warrant under section 113?,"The Magistrate should proceed to inquire into the truth of the information upon which action has been taken, and take such further evidence as may appear necessary."
What kind of inquiry is to be made under subsection (2)?,"Such inquiry should be made, as nearly as may be practicable, in the manner prescribed for conducting trial and recording evidence in summons-cases."
How should the inquiry under subsection (2) be conducted?,"The inquiry should be made, as nearly as may be practicable, in the manner prescribed for conducting trial and recording evidence in summons-cases."
What should the Magistrate do during the inquiry under sub-section (1)?,"After the commencement, and before the completion, of the inquiry, the Magistrate, if he considers that immediate measures are necessary, he should take them."
When should the Magistrate take immediate measures during the inquiry under sub-section (1)?,"The Magistrate should take immediate measures after the commencement, and before the completion, of the inquiry, if he considers them necessary."
"What changes were made by Act 56 of 1974, s. 3 and the Second Sch.?","Subs. was replaced by Act 56 of 1974, s. 3 and the Second Sch. for item (b) (effective from 10-1-1975)."
"What was replaced for item (b) (effective from 10-1-1975) by Act 56 of 1974, s. 3 and the Second Sch.?","Subs. was replaced by Act 56 of 1974, s. 3 and the Second Sch. for item (b) (effective from 10-1-1975)."
"What changes were made by Act 25 of 2005, s. 14?","The word “or” was omitted and changes were inserted by Act 25 of 2005, s. 14 (effective from 23-6-2006)."
"What was the effect of the changes inserted by Act 25 of 2005, s. 14 (effective from 23-6-2006)?",The word “or” was omitted.
What can be directed to the person in respect of whom the order under section 111 has been made?,"They may be directed to execute a bond, with or without sureties, for keeping the peace or maintaining good behaviour until the conclusion of the inquiry."
What might a person be directed to do if an order under section 111 has been made against them?,"They may be directed to execute a bond, with or without sureties, for keeping the peace or maintaining good behaviour until the conclusion of the inquiry."
What happens if the person fails to execute the bond?,"They may be detained in custody until such bond is executed or, in default of execution, until the inquiry is concluded."
What could potentially occur to a person who is unable to execute a bond?,"They may be detained in custody until such bond is executed or, in default of execution, until the inquiry is concluded."
Who should not be directed to execute a bond for maintaining good behaviour?,"No person against whom proceedings are not being taken under section 108, section 109, or section 110."
Under which sections should proceedings not be taken for a person to be exempted from executing a bond for maintaining good behaviour?,"Section 108, section 109, or section 110"
How should the conditions of such bond be?,"The conditions of such bond, whether as to the amount thereof or as to the provision of sureties or the number thereof or the pecuniary extent of their liability, shall not be more onerous than those specified in the order under section 111."
"What does the order under section 111 specify about the conditions of a bond, in terms of its amount, the provision of sureties, their number, and the pecuniary extent of their liability?","The order under section 111 specifies that the conditions of such bond, whether as to the amount thereof or as to the provision of sureties or the number thereof or the pecuniary extent of their liability, should not be more onerous."
What can be proved by evidence of general repute or otherwise?,The fact that a person is an habitual offender or is so desperate and dangerous as to render his being at large without security hazardous to the community.
What does it mean when a person is an habitual offender or is so desperate and dangerous as to render his being at large without security hazardous to the community?,It can be proved by evidence of general repute or otherwise that such a person poses a threat to the community.
Can two or more persons associated in the matter under inquiry be dealt in the same or separate inquiries?,"Yes, they may be dealt within the same or separate inquiries as the Magistrate shall think just."
Who decides whether two or more persons associated in the matter under inquiry will be dealt in the same or separate inquiries?,The Magistrate decides whether they may be dealt within the same or separate inquiries.
What is the time limit for the inquiry under this section to be completed?,The inquiry under this section shall be completed within a period of six months from the date of its commencement.
When should the inquiry under this section commence in order for it to be completed within a six month period?,The inquiry under this section should commence six months prior to the date it needs to be completed.
What happens if the inquiry is not completed within the stipulated time period?,"If such inquiry is not so completed, the proceedings under this Chapter shall, on the expiry of the said period, stand terminated unless, for special reasons to be recorded in writing, the Magistrate otherwise directs."
"What happens to the proceedings under the chapter if the inquiry is not completed within the stipulated time period, unless the Magistrate directs otherwise for special reasons recorded in writing?","If such inquiry is not so completed, the proceedings under this Chapter shall, on the expiry of the said period, stand terminated."
What happens if a person has been kept in detention pending such inquiry?,"The proceeding against that person, unless terminated earlier, shall stand terminated on the expiry of a period of six months of such detention."
What will happen to the proceedings against a person who has been kept in detention for a period of six months pending inquiry?,"The proceeding against that person, unless terminated earlier, shall stand terminated on the expiry of a period of six months of such detention."
Who can vacate the direction of proceedings according to sub-section (6)?,The Sessions Judge
"According to sub-section (6), who has the authority to vacate the direction of proceedings?",The Sessions Judge
Under what conditions can the Sessions Judge vacate such direction?,If he is satisfied that it was not based on any special reason or was perverse.
What needs to be satisfied for the Sessions Judge to vacate a direction?,The Sessions Judge can vacate a direction if he is satisfied that it was not based on any special reason or was perverse.
"What happens if, upon inquiry, it is proved necessary for keeping the peace or maintaining good behaviour?","The person in respect of whom the inquiry is made should execute a bond, with or without sureties, and the Magistrate shall make an order accordingly."
"What should a person do, and what order will the Magistrate make, if it is proved necessary for peacekeeping or maintaining good behaviour after an inquiry?","The person in respect of whom the inquiry is made should execute a bond, with or without sureties, and the Magistrate shall make an order accordingly."
"Can a person be ordered to give security of a nature different from, or of an amount larger than, or for a period longer than specified in the order made under section 111?",No
"Is it possible for a person to be mandated to provide security of a different nature, larger amount, or for a longer period than specified in the order made under section 111?",No
How is the amount of every bond determined?,The amount of every bond shall be fixed with due regard to the circumstances of the case and shall not be excessive.
What considerations are taken into account when fixing the amount of a bond and is it allowed to be excessive?,The amount of every bond is fixed with due regard to the circumstances of the case and it is not allowed to be excessive.
Who should execute the bond when the person in respect of whom the inquiry is made is a minor?,The bond shall be executed only by his sureties.
Who shall execute the bond when the person in question is a minor?,The bond shall be executed only by his sureties.
What should the Magistrate do if it's not proved necessary for a person to execute a bond under section 116?,"The Magistrate should make an entry on the record to that effect. If such person is in custody only for the purposes of the inquiry, the Magistrate shall release him. If such person is not in custody, the Magistrate shall discharge him."
"What is the procedure for a Magistrate when it's not proved necessary for a person to execute a bond under section 116, especially if the person is in custody for the purposes of the inquiry or if the person is not in custody?","The Magistrate should make an entry on the record to that effect. If such person is in custody only for the purposes of the inquiry, the Magistrate shall release him. If such person is not in custody, the Magistrate shall discharge him."
When does the period for which security is required commence if a person is sentenced to or undergoing a sentence of imprisonment?,The period for which security is required shall commence on the expiration of such sentence.
When does the period for which security is required begin if a person has completed their sentence of imprisonment?,The period for which security is required commences on the expiration of such sentence.
When does the period for which security is required commence in cases other than imprisonment?,"In other cases such period shall commence on the date of such order unless the Magistrate, for sufficient reason, fixes a later date."
When does the period for which security is required commence in cases other than imprisonment if the Magistrate does not fix a later date?,Such period shall commence on the date of such order.
What does the bond executed by a person bind him to do?,"The bond binds him to keep the peace or to be of good behaviour, and any commission or attempt to commit, or the abetment of, any offence punishable with imprisonment is a breach of the bond."
What constitutes a breach of the bond that a person is bound by to keep the peace or be of good behaviour?,"Any commission or attempt to commit, or the abetment of, any offence punishable with imprisonment is a breach of the bond."
What power does a Magistrate have in regards to sureties?,"A Magistrate may refuse to accept any surety offered, or may reject any surety previously accepted on the ground that such surety is an unfit person for the purposes of the bond."
What can a Magistrate do if they deem a surety unfit for the purposes of the bond?,"A Magistrate may refuse to accept any surety offered, or may reject any surety previously accepted if they consider such surety as an unfit person for the purposes of the bond."
What should the Magistrate do before refusing to accept or rejecting any surety?,"He should either himself hold an inquiry on oath into the fitness of the surety, or cause such inquiry to be held and a report to be made by a Magistrate subordinate to him."
What should be done in an inquiry on the fitness of a surety before a Magistrate can refuse to accept or reject it?,The Magistrate should either himself hold the inquiry on oath or cause such inquiry to be held and a report to be made by a Magistrate subordinate to him.
What is required before a Magistrate holds an inquiry about the fitness of a surety?,The Magistrate should give reasonable notice to the surety and to the person by whom the surety was offered.
Who should a Magistrate give reasonable notice to before holding an inquiry about the fitness of a surety?,The Magistrate should give reasonable notice to the surety and to the person by whom the surety was offered.
What happens if the Magistrate is satisfied that the surety is an unfit person for the purposes of the bond?,"The Magistrate shall make an order refusing to accept or rejecting, as the case may be, such surety and recording his reasons for doing so."
What does the Magistrate do when he finds the surety unfit for the purposes of the bond?,"The Magistrate shall make an order refusing to accept or rejecting, as the case may be, such surety and recording his reasons for doing so."
What must the Magistrate do before rejecting any surety who has previously been accepted?,"The Magistrate shall issue his summons or warrant, as he thinks fit, and cause the person for whom the surety is bound to appear or to be brought before him."
"What does a Magistrate do with a person for whom a previously accepted surety is bound, before he rejects the surety?","The Magistrate shall issue his summons or warrant, as he thinks fit, and cause the person to appear or to be brought before him."
What happens if a person ordered to give security under section 106 or section 117 does not give such security on or before the due date?,"He shall, except in the case next hereinafter mentioned, be committed."
"What is the consequence for a person who, except in the case next hereinafter mentioned, fails to provide the ordered security under section 106 or section 117 on or before the due date?",He shall be committed.
What happens if a person doesn't give security to the Court or Magistrate within the required period?,"The person may be sent to prison, or if already in prison, be detained in prison until the period expires or until he gives the security."
