answer,section,page,source_pdf,question,clean
"Explanation.— For the purpose of this clause, if the premises let include the terrace or part thereof, or garages, servants quarters or out-houses (which are not on the terrace), or all or any one of more of them, this clause shall nevertheless apply;",Section 18,15,eng_maharashtra_rent_control_ac.pdf,Summarize this legal clause.,True
or (k) that the premises are required for the immediate purpose of demolition ordered by any municipal authority or other competent authority;,Section 18,15,eng_maharashtra_rent_control_ac.pdf,Simplify this tenancy law provision.,True
"or (l) that where the premises are land in the nature of garden or grounds appurtenant to a building or part of a building or part of a building, such land is required by the landlord for the erection of a new building which a municipal authority has approved or permitted him to build thereon;",Section 18,15,eng_maharashtra_rent_control_ac.pdf,Explain this tenancy law clause.,True
"or (m) that the rent charged by the tenant for the premises or any part thereof which are sub-let is in excess of the standard rent and permitted increases in respect of such premises or part or that the tenant has received any fine, premium, other like sum of consideration in respect of such premises or part;",Section 18,15,eng_maharashtra_rent_control_ac.pdf,What does this clause mean in simple terms?,True
"or (n) that the premises have not been used, without reasonable cause for the purpose for which they were let for for a continuous period of six months immediately preceding the date of the suit.",Section 18,15,eng_maharashtra_rent_control_ac.pdf,Summarize this legal clause.,True
"Where the court is satisfied that no hardship would be caused either to the tenant or to the landlord by passing the decree in respect of such part of the premises, the court shall the decree in respect of such part only.",Section 18,15,eng_maharashtra_rent_control_ac.pdf,Explain this tenancy law clause.,True
Explanation.— For the purposes of clause (g) of sub-section (1) the expression “landlord” shall not include a rent-farmer or rent-collector or estate-manager.,Section 18,15,eng_maharashtra_rent_control_ac.pdf,What does this clause mean in simple terms?,True
and on the tenant or tenants declining to give such consent the landlord shall be entitled to put the additional floor area of any permissible use;,Section 18,16,eng_maharashtra_rent_control_ac.pdf,Explain this tenancy law clause.,True
"or (ii) any one or more of the following structures that is to say, tower-room, sitting-out-rooms, ornamental structures, architectural features, landings, attics on the terrace of a building, or one or more rooms of whatsoever description on, such terrace (such room or rooms being in the aggregate of an area not more than one-sixth of the total area of the terrace);",Section 18,16,eng_maharashtra_rent_control_ac.pdf,Summarize this legal clause.,True
"Recovery of possession for repairs and re-entry.— (1) The court shall, when passing a decree on the ground specified in clause (h) of sub-section (1) of section 16, ascertain from the tenant whether he elects to be placed in occupation of the premises or part thereof from which he is to be evicted and if the tenant so elects, shall record the fact of the election, in the decree and specify in the decree the date on or before which he shall deliver possession so as to enable the landlord to commence the work of repairs.",Section 18,17,eng_maharashtra_rent_control_ac.pdf,What does this clause mean in simple terms?,True
Within thirty days from the date of receipt of such notice the tenant shall intimate to the landlord his acceptance of the accommodation offered and deposit with the landlord rent for one month.,Section 18,17,eng_maharashtra_rent_control_ac.pdf,Simplify this tenancy law provision.,True
"If the tenant gives such intimation and makes the deposit, the landlord shall, on completion of the work of repairs, place the tenant in occupation of the premises or part thereof on the terms and conditions existing on the date of the passing of the decree for eviction.",Section 18,17,eng_maharashtra_rent_control_ac.pdf,Explain this tenancy law clause.,True
"If the tenant fails to give to such intimation and to make the deposit, the tenant’s right to occupy the premises shall terminate.",Section 18,17,eng_maharashtra_rent_control_ac.pdf,What does this clause mean in simple terms?,True
"Recovery of possession for demolishing building.— (1) Where a decree for eviction has been passed by the court on the ground specified in clause (i) or (j) of sub-section (1) of section 16, and the work of demolishing the premises has not been commenced by the landlord within the period",Section 18,17,eng_maharashtra_rent_control_ac.pdf,Summarize this legal clause.,True
"On such order being made, the landlord shall forthwith deliver vacant possession of the premises to the tenant.",Section 18,18,eng_maharashtra_rent_control_ac.pdf,What does this clause mean in simple terms?,True
"Such order shall be deemed to be an order within the meaning of clause (14) of section 2 of the Code of Civil Procedure, 1908 (V of 1908).",Section 18,18,eng_maharashtra_rent_control_ac.pdf,Summarize this legal clause.,True
"Landlord to intimate to tenant date of completion and tenant’s right to occupy premises in new building.— (1) The landlord shall, not less than three months before the date on which the erection of the new building or, completion as the case may be, new floor or floors is likely to be completed, intimate to the tenant, the date on which the said erection shall be completed.",Section 18,18,eng_maharashtra_rent_control_ac.pdf,Summarize this legal clause.,True
"On the said date, the tenant shall be entitled to occupy the premises assigned to him by the landlord.",Section 18,18,eng_maharashtra_rent_control_ac.pdf,Simplify this tenancy law provision.,True
and the landlord shall be entitled to recover from the tenant a sum equal to three times the amount of the monthly standard rent in respect of the premises.,Section 18,18,eng_maharashtra_rent_control_ac.pdf,What does this clause mean in simple terms?,True
"Recovery of possession in case of tenancy created during service period.— (1) Where any landlord intends to let any premises or any part thereof belonging to him, to his employee, such",Section 18,18,eng_maharashtra_rent_control_ac.pdf,Simplify this tenancy law provision.,True
"and notwithstanding anything contained in this Act, the tenancy so created shall remain in force during the period of service or employment of the tenant with the landlord.",Section 18,19,eng_maharashtra_rent_control_ac.pdf,What does this clause mean in simple terms?,True
"and on their refusal or failure to do so the Competent Authority may proceed to take action under section 45: Provided that, the Competent Authority may entertain an application under this sub-section after the expiry of the said period, if it is satisfied that the applicant was prevented by sufficient cause from making the application in time: Provided further that, where the tenant is a workman or an employee whose services are terminated and a dispute in respect of such termination is pending before a tribunal, court or any other competent authority, the order for a eviction shall not be passed until such tribunal, court or authority, under the relevant law, finally upholds the order of such termination.",Section 18,19,eng_maharashtra_rent_control_ac.pdf,Simplify this tenancy law provision.,True
"Explanation.— For the purposes of this section, the expression “landlord” shall not include, in respect of sub-tenant, a tenant who has sub-let any premises, or in respect of a deemed tenant, a tenant at whose instance the deemed tenant has come in occupation of any premises.",Section 18,19,eng_maharashtra_rent_control_ac.pdf,Explain this tenancy law clause.,True
"and the Competent Authority shall make an order of eviction on that ground if— (a) in the case of landlord who is a member of the armed forces of the Union, he produces a certificate signed by the authorised officer to the effect that,—",Section 18,19,eng_maharashtra_rent_control_ac.pdf,Summarize this legal clause.,True
"or (b) in the case of a landlord who is scientist, he produces a certificate signed by an officer of the Department of Atomic Energy of, or above, of the rank of Deputy Secretary to Government to the effect that,— (i) he is presently holding a scientific post in the Department of Atomic Energy or in any of its aided institutions specified in the certificate or he was holding such post and has now retired with effect from the date specified in the certificate;",Section 18,20,eng_maharashtra_rent_control_ac.pdf,Explain this tenancy law clause.,True
and (ii) he does not possess any other suitable residence (excluding any residential accommodation provided by Government) in the local area where the premises are situated;,Section 18,20,eng_maharashtra_rent_control_ac.pdf,What does this clause mean in simple terms?,True
and (ii) he does not possesses any other suitable residence (excluding any residential accommodation provided by Government or Public Sector Undertaking) in the local area where the premises are situated;,Section 18,20,eng_maharashtra_rent_control_ac.pdf,Summarize this legal clause.,True
"and the Competent Authority shall make an order of eviction on that ground if,— (a) in the case of the successor-in-interest of a member of the armed forces of the Union, he produces a certificate signed by the authorised officer to the effect that,— (i) a successor-in-interest is a widow or any other member of the family of the deceased member of the armed forces of the Union, who died while in service on the date specified in the certificate (or of a member of the armed forces of the Union who has retired and who died within five years of his retirement on the date specified in the certificate);",Section 18,20,eng_maharashtra_rent_control_ac.pdf,Explain this tenancy law clause.,True
and (ii) such a successor-in-interest does not possess any other premises suitable for residence in the local area where such premises are situated;,Section 18,20,eng_maharashtra_rent_control_ac.pdf,What does this clause mean in simple terms?,True
and (ii) such successor-in-interest does not possess any other suitable residence (excluding any residential accommodation provided by Government or the Public Sector Undertaking) in the local area where such premises are situated.,Section 18,21,eng_maharashtra_rent_control_ac.pdf,Simplify this tenancy law provision.,True
"Landlord entitled to recover possession of premises given on licence on expiry.— (1) Notwithstanding anything contained in this Act, a licensee, in possession or occupation of premises given to him on license for residence shall deliver possession of such premises to the landlord on expiry of the period of licence;",Section 18,22,eng_maharashtra_rent_control_ac.pdf,What does this clause mean in simple terms?,True
"and on the failure of the licensee to so deliver the possession of the licensed premises, a landlord shall be entitled to recover possession of such premises from a licensee, on the expiry of the period of licence, by making an application to the Competent Authority, and the Competent Authority, on being satisfied that the period of licence has expired, shall pass an order for eviction of a licensee.",Section 18,22,eng_maharashtra_rent_control_ac.pdf,Summarize this legal clause.,True
"Explanation.— For the purposes of this section,— (a) the expression “landlord” includes a successor-in-interest who becomes the landlord of the premises as a result of death of such landlord;",Section 18,22,eng_maharashtra_rent_control_ac.pdf,What does this clause mean in simple terms?,True
but does not include a tenant or a sub-tenant who has given premises on license;,Section 18,22,eng_maharashtra_rent_control_ac.pdf,Summarize this legal clause.,True
"Certain Sub-tenants to become tenants on determination of tenancy.— When the interest of a tenant of any premises is determined for any reason, any sub-tenant to whom the premises or any part thereof have been lawfully sub-let and such sub-tenancy is subsisting on the date of commencement of this Act or where sub-tenancy is permitted by a contract between the landlord and the tenant, such sub-tenant shall, subject to the provisions of this Act, be deemed to become the tenant of his landlord on the same terms and conditions as he would have held from the tenant if the tenancy had continued.",Section 18,22,eng_maharashtra_rent_control_ac.pdf,Simplify this tenancy law provision.,True
"State Government or Government allottee to become tenant of premises requisitioned or continued under requisition.— (1) On the 7th December 1996, that is the date of coming into force of Bombay Rents, Hotel and Lodging House Rates Control, Bombay Land Requisition and Bombay Government Premises (Eviction) (Amendment) Act, 1996 (Mah.",Section 18,22,eng_maharashtra_rent_control_ac.pdf,What does this clause mean in simple terms?,True
"and (b) the Government allottee, in respect of the premises requisitioned or continued under requisition and allotted to him as referred to in sub-clause (b) of clause (2) of section shall, notwithstanding anything contained in this Act, or in the Bombay Land Requisition Act, 1948 (Bom.",Section 18,22,eng_maharashtra_rent_control_ac.pdf,Simplify this tenancy law provision.,True
"and such premises shall be deemed to have been let by the landlord to the State Government or, as the case may be, to such Government allottee, on payment of rent and permitted increases equal to the amount of compensation payable in respect of the premises immediately before the said date.",Section 18,23,eng_maharashtra_rent_control_ac.pdf,Summarize this legal clause.,True
"Inspection of premises.— The landlord shall be entitled to inspect the premises let or given on licence, at a reasonable time after giving prior notice to the tenant, licensee or occupier.",Section 18,23,eng_maharashtra_rent_control_ac.pdf,Summarize this legal clause.,True
"Landlord not to cut-off or withhold essential supply or service.— (1) No landlord, either himself or through any person acting or purporting to act on his behalf, shall, without just or sufficient cause, cut-off or withhold any essential supply or service enjoyed by the tenant in respect of the premises let to him.",Section 18,23,eng_maharashtra_rent_control_ac.pdf,Simplify this tenancy law provision.,True
"On the failure of the landlord to comply with such interim order of the court, the landlord shall be liable to the same penalty as is provided for in sub-section (4).",Section 18,23,eng_maharashtra_rent_control_ac.pdf,Summarize this legal clause.,True
"Any landlord who fails to restore the supply or service before the date so specified, shall, for each day during which the default continues thereafter, be liable upon further directions by the court, to that effect, to fine which may extend to one hundred rupees.",Section 18,23,eng_maharashtra_rent_control_ac.pdf,Explain this tenancy law clause.,True
"Conversion of residential into commercial premises prohibited.— (1) A landlord shall not use or permit to be used for a commercial purpose any premises which, on the date of the commencement of this Act, were used for a residential purpose.",Section 18,24,eng_maharashtra_rent_control_ac.pdf,What does this clause mean in simple terms?,True
"Recovery of rent according to British Calendar.— (1) Notwithstanding anything contained in any law for the time being in force or any contract, custom of local usage to the contrary, rent payable by the month or year or portion year shall be recovered according to the British Calendar.",Section 18,24,eng_maharashtra_rent_control_ac.pdf,Summarize this legal clause.,True
"Appeal.— (1) Notwithstanding anything contained in any law for the time being in force, an appeal shall lie— (a) in Brihan Mumbai from a decree or order made by the Court of Small Causes, Mumbai exercising jurisdiction under section 33, to a bench of two judges of the said Court which shall not include the Judge who made such decree or order;",Section 18,25,eng_maharashtra_rent_control_ac.pdf,What does this clause mean in simple terms?,True
"Saving of suit involving tittle.— Nothing contained in sections 33 and 34 shall be deemed to bar a party to a suit, proceeding or appeal mentioned therein in which a question of title to premises arises and is determined from using in a competent court to establish, his title to such premises.",Section 18,26,eng_maharashtra_rent_control_ac.pdf,Summarize this legal clause.,True
"Compensation in respect of proceedings which are not bona fide or are false, frivolous or vexatious.— If the court finds that any suit, proceeding or application instituted or made before it is not instituted, or made, bona fide or is false, frivolous or vexatious, the court may, after hearing the plaintiff or applicant and for reasons to be recorded, order that compensation, not exceeding two thousand rupees, be paid by such plaintiff or applicant to the defendant or opponent, as the case may be.",Section 18,26,eng_maharashtra_rent_control_ac.pdf,Simplify this tenancy law provision.,True
"Definition of landlord for the purpose of Chapter VIII.— For the purposes this Chapter, landlord means a landlord who is,— (a) a person who has created a service tenancy in respect of his premises or a part thereof in favour of his employee under section 22;",Section 18,26,eng_maharashtra_rent_control_ac.pdf,Summarize this legal clause.,True
Special procedure for disposal of applications.— (1) Every application by a landlord under this Chapter for the recovery of possession shall be accompanied by such fees as may be prescribed.,Section 18,27,eng_maharashtra_rent_control_ac.pdf,What does this clause mean in simple terms?,True
The Competent Authority shall deal with the application in accordance with the procedure laid down in this section.,Section 18,27,eng_maharashtra_rent_control_ac.pdf,Summarize this legal clause.,True
Order of Competent Authority to be non-appealable and revision by State Government.— (1) No appeal shall lie against an order for the recovery of possession of any premises made by the Competent Authority in accordance with the procedure specified in section 43.,Section 18,27,eng_maharashtra_rent_control_ac.pdf,What does this clause mean in simple terms?,True
"Effect of refusal or failure to comply with order of eviction.— If any person refuses or fails to comply with the order of eviction made under section 43 within thirty days of the date on which it has become final, the Competent Authority or any other officer duly authorised by the Competent Authority in this behalf, may evict that person from, and take possession of, the premises and deliver the same to the landlord and for that purpose, use such force as may be necessary.",Section 18,28,eng_maharashtra_rent_control_ac.pdf,Explain this tenancy law clause.,True
"Pending Suits and proceedings in courts.— (1) Subject to sub-section (2), all suits and proceedings filed by landlords, being the landlords referred to in clause (a) or (b) or (c) of section 41 for eviction of tenant on the grounds specified in section 22 or 23 or 24 and pending on the date of commencement of this Act, unless the landlord withdraws the same in relation to relief of recovery of possession of the premises claimed therein, be heard, proceeded with and disposed of by the Court in which such suit or proceeding is pending as if this Act had not been passed.",Section 18,28,eng_maharashtra_rent_control_ac.pdf,What does this clause mean in simple terms?,True
"Offences by companies, etc.— Where person committing an offence under this Act is a company, or other body corporate, or an association of persons (whether incorporated or not) or a firm, every Director, Manager, Secretary, Agent or other officer or person concerned with the management thereof, and every partner of the firm shall, unless be proves that the offence was committed without his knowledge or consent, be deemed to be guilty of such offence.",Section 18,29,eng_maharashtra_rent_control_ac.pdf,Summarize this legal clause.,True
"Tenancy agreement to be compulsorily registered.— (1) Notwithstanding anything contained in this Act or any other law for the time being in force, any agreement for leave and licence or letting of any premises, entered into between the landlord and the tenant or the licensee, as the case may be, after the commencement of this Act, shall be in writing and shall be registered under the Registration Act, 1908 (XVI of 1908).",Section 18,29,eng_maharashtra_rent_control_ac.pdf,Simplify this tenancy law provision.,True
"Right of tenant and landlord to receive lawful charges.— Notwithstanding anything contained in this Act, it shall be lawful for,— (i) the tenant or any person acting or purporting to act on behalf of the tenant to claim or receive any sum or any consideration, as a condition of the relinquishment, transfer or assignment of his tenancy of any premises;",Section 18,29,eng_maharashtra_rent_control_ac.pdf,Summarize this legal clause.,True
"Repeal and saving.— (1) On the commencement of this Act, the following laws, that is to say,— (a) the Bombay Rents, Hotel and Lodging House Rates Control Act, 1947 (Bom.",Section 18,30,eng_maharashtra_rent_control_ac.pdf,Explain this tenancy law clause.,True
"and (c) the Hyderabad Houses (Rent, Eviction and Lease) Control Act, 1954 (Hyd.",Section 18,30,eng_maharashtra_rent_control_ac.pdf,Summarize this legal clause.,True
"Removal of difficulty.— If any difficulty arises in giving effect to the provisions of this Act unifying, consolidating and amending the laws relating to the control of rent and eviction and other connected matters in the repealed Acts, and as are contained in this Act, the State Government may, as occasion arises, by order do anything which appears to it to be necessary for the purpose of removing the difficulty: Provided that, no such order shall be made after the expiry of the period of two years from the date of commencement of this Act.",Section 18,31,eng_maharashtra_rent_control_ac.pdf,What does this clause mean in simple terms?,True
"WHEREAS Shri…………………………………......filed an application (a copy of which is annexed) for your eviction from (here insert the particulars of the premises) on the ground specified in section 23/24 of the Maharashtra Rent Control Act, 1999.",Section 18,44,eng_maharashtra_rent_control_ac.pdf,Simplify this tenancy law provision.,True
"within fifteen days of the service hereof and to obtain the leave of the Competent Authority to contest the application for eviction on the ground aforesaid, in default whereof, the applicant will be entitled at any time after the expiry of the said period of fifteen days to obtain an order for your eviction from the said premises.",Section 18,44,eng_maharashtra_rent_control_ac.pdf,Explain this tenancy law clause.,True
Leave to appear and contest the application may be obtained on an application to the Competent Authority which shall be supported by an affidavit as is referred to in clause (a) of sub-section (4) of section 43.,Section 18,44,eng_maharashtra_rent_control_ac.pdf,What does this clause mean in simple terms?,True
