instruction,input,output,section,source
Identify the legal topic of the following clause.,"WHEREAS it is expedient to unify, consolidate and amend the laws prevailing in the different parts of the State relating to the control of rents and repairs of certain premises and of eviction and for encouraging the construction of new houses by assuring a fair return and to provide for the matters connected with the purposes aforesaid;",tenancy law,Section 18,eng_maharashtra_rent_control_ac.pdf
Explain the following tenancy law clause in simple terms.,"Short title, extent and commencement.— (1) This Act may be called the Maharashtra Rent Control Act, 1999.","Short title, extent and commencement.— (1) This Act may be called the Maharashtra Rent Control Act, 1999.",Section 18,eng_maharashtra_rent_control_ac.pdf
Provide a short summary of this legal provision.,"Short title, extent and commencement.— (1) This Act may be called the Maharashtra Rent Control Act, 1999.","Short title, extent and commencement.— (1) This Act may be called the Maharashtra Rent Control Act, 1999.",Section 18,eng_maharashtra_rent_control_ac.pdf
Identify the legal topic of the following clause.,"Short title, extent and commencement.— (1) This Act may be called the Maharashtra Rent Control Act, 1999.",tenancy law,Section 18,eng_maharashtra_rent_control_ac.pdf
Explain the following tenancy law clause in simple terms.,"Application.— (1) This Act shall, in the first instance, apply to premises let for the purposes of residence, education, business, trade or storage in the areas specified in Schedule I and Schedule II.","Application.— (1) This Act shall, in the first instance, apply to premises let for the purposes of residence, education, business, trade or storage in the areas specified in Schedule I and Schedule II.",Section 18,eng_maharashtra_rent_control_ac.pdf
Provide a short summary of this legal provision.,"Application.— (1) This Act shall, in the first instance, apply to premises let for the purposes of residence, education, business, trade or storage in the areas specified in Schedule I and Schedule II.","Application.— (1) This Act shall, in the first instance, apply to premises let for the purposes of residence, education, business, trade or storage in the areas specified in Schedule I and Schedule II.",Section 18,eng_maharashtra_rent_control_ac.pdf
Identify the legal topic of the following clause.,"Application.— (1) This Act shall, in the first instance, apply to premises let for the purposes of residence, education, business, trade or storage in the areas specified in Schedule I and Schedule II.",tenancy law,Section 18,eng_maharashtra_rent_control_ac.pdf
Explain the following tenancy law clause in simple terms.,"LVII of 1947) or the Central Provinces and Berar Letting of Houses and Rent Control Order, 1949 issued under the Central Provinces and Berar Regulation of Letting of Accommodation Act, 1946 (C.","LVII of 1947) or the Central Provinces and Berar Letting of Houses and Rent Control Order, 1949 issued under the Central Provinces and Berar Regulation of Letting of Accommodation Act, 1946 (C.",Section 18,eng_maharashtra_rent_control_ac.pdf
Provide a short summary of this legal provision.,"LVII of 1947) or the Central Provinces and Berar Letting of Houses and Rent Control Order, 1949 issued under the Central Provinces and Berar Regulation of Letting of Accommodation Act, 1946 (C.","LVII of 1947) or the Central Provinces and Berar Letting of Houses and Rent Control Order, 1949 issued under the Central Provinces and Berar Regulation of Letting of Accommodation Act, 1946 (C.",Section 18,eng_maharashtra_rent_control_ac.pdf
Identify the legal topic of the following clause.,"LVII of 1947) or the Central Provinces and Berar Letting of Houses and Rent Control Order, 1949 issued under the Central Provinces and Berar Regulation of Letting of Accommodation Act, 1946 (C.",tenancy law,Section 18,eng_maharashtra_rent_control_ac.pdf
Interpret this legal clause related to tenancy law.,"and Berar Act XI of 1946) and Hyderabad Houses (Rent, Eviction and Lease) Control Act, 1954 (Hyd.","and Berar Act XI of 1946) and Hyderabad Houses (Rent, Eviction and Lease) Control Act, 1954 (Hyd.",Section 18,eng_maharashtra_rent_control_ac.pdf
Summarize the following tenancy law clause.,"and Berar Act XI of 1946) and Hyderabad Houses (Rent, Eviction and Lease) Control Act, 1954 (Hyd.","and Berar Act XI of 1946) and Hyderabad Houses (Rent, Eviction and Lease) Control Act, 1954 (Hyd.",Section 18,eng_maharashtra_rent_control_ac.pdf
Identify the legal topic of the following clause.,"and Berar Act XI of 1946) and Hyderabad Houses (Rent, Eviction and Lease) Control Act, 1954 (Hyd.",tenancy law,Section 18,eng_maharashtra_rent_control_ac.pdf
Interpret this legal clause related to tenancy law.,"XX of 1954) were extended and applied before the date of commencement of this Act and such premises or houses continue to be so let on that date in such areas which are specified in Schedule I to this Act, notwithstanding that the area ceases to be of the description therein specified.","XX of 1954) were extended and applied before the date of commencement of this Act and such premises or houses continue to be so let on that date in such areas which are specified in Schedule I to this Act, notwithstanding that the area ceases to be of the description therein specified.",Section 18,eng_maharashtra_rent_control_ac.pdf
Summarize the following tenancy law clause.,"XX of 1954) were extended and applied before the date of commencement of this Act and such premises or houses continue to be so let on that date in such areas which are specified in Schedule I to this Act, notwithstanding that the area ceases to be of the description therein specified.","XX of 1954) were extended and applied before the date of commencement of this Act and such premises or houses continue to be so let on that date in such areas which are specified in Schedule I to this Act, notwithstanding that the area ceases to be of the description therein specified.",Section 18,eng_maharashtra_rent_control_ac.pdf
Identify the legal topic of the following clause.,"XX of 1954) were extended and applied before the date of commencement of this Act and such premises or houses continue to be so let on that date in such areas which are specified in Schedule I to this Act, notwithstanding that the area ceases to be of the description therein specified.",tenancy law,Section 18,eng_maharashtra_rent_control_ac.pdf
Explain the following tenancy law clause in simple terms.,"Exemption.— (1) This Act shall not apply,— (a) to any premises belonging to the Government or a local authority or apply as against the Government to any tenancy, licence or other like relationship created by a grant from or a licence given by the Government in respect of premises requisitioned or taken on lease or on licence by the Government, including any premises taken on behalf of the Government on the basis of 1 For Statement of Objects and Reasons of the L.","Exemption.— (1) This Act shall not apply,— (a) to any premises belonging to the Government or a local authority or apply as against the Government to any tenancy, licence or other like relationship created by a grant from or a licence given by the Government in respect of premises requisitioned or taken on lease or on licence by the Government, including any premises taken on behalf of the Government on the basis of 1 For Statement of Objects and Reasons of the L.",Section 18,eng_maharashtra_rent_control_ac.pdf
Provide a short summary of this legal provision.,"Exemption.— (1) This Act shall not apply,— (a) to any premises belonging to the Government or a local authority or apply as against the Government to any tenancy, licence or other like relationship created by a grant from or a licence given by the Government in respect of premises requisitioned or taken on lease or on licence by the Government, including any premises taken on behalf of the Government on the basis of 1 For Statement of Objects and Reasons of the L.","Exemption.— (1) This Act shall not apply,— (a) to any premises belonging to the Government or a local authority or apply as against the Government to any tenancy, licence or other like relationship created by a grant from or a licence given by the Government in respect of premises requisitioned or taken on lease or on licence by the Government, including any premises taken on behalf of the Government on the basis of 1 For Statement of Objects and Reasons of the L.",Section 18,eng_maharashtra_rent_control_ac.pdf
Identify the legal topic of the following clause.,"Exemption.— (1) This Act shall not apply,— (a) to any premises belonging to the Government or a local authority or apply as against the Government to any tenancy, licence or other like relationship created by a grant from or a licence given by the Government in respect of premises requisitioned or taken on lease or on licence by the Government, including any premises taken on behalf of the Government on the basis of 1 For Statement of Objects and Reasons of the L.",tenancy law,Section 18,eng_maharashtra_rent_control_ac.pdf
Explain the following tenancy law clause in simple terms.,"XVIII tenancy or of licence or other or other like relationship by, or in the name of any officer subordinate to the Government authorised in this behalf;","XVIII tenancy or of licence or other or other like relationship by, or in the name of any officer subordinate to the Government authorised in this behalf;",Section 18,eng_maharashtra_rent_control_ac.pdf
Provide a short summary of this legal provision.,"XVIII tenancy or of licence or other or other like relationship by, or in the name of any officer subordinate to the Government authorised in this behalf;","XVIII tenancy or of licence or other or other like relationship by, or in the name of any officer subordinate to the Government authorised in this behalf;",Section 18,eng_maharashtra_rent_control_ac.pdf
Identify the legal topic of the following clause.,"XVIII tenancy or of licence or other or other like relationship by, or in the name of any officer subordinate to the Government authorised in this behalf;",tenancy law,Section 18,eng_maharashtra_rent_control_ac.pdf
Explain the following tenancy law clause in simple terms.,"but it shall apply in respect of premises let, or given on licence, to the Government or a local authority or taken on behalf of the Government on such basis by, or in the name of such officer;","but it shall apply in respect of premises let, or given on licence, to the Government or a local authority or taken on behalf of the Government on such basis by, or in the name of such officer;",Section 18,eng_maharashtra_rent_control_ac.pdf
Provide a short summary of this legal provision.,"but it shall apply in respect of premises let, or given on licence, to the Government or a local authority or taken on behalf of the Government on such basis by, or in the name of such officer;","but it shall apply in respect of premises let, or given on licence, to the Government or a local authority or taken on behalf of the Government on such basis by, or in the name of such officer;",Section 18,eng_maharashtra_rent_control_ac.pdf
Identify the legal topic of the following clause.,"but it shall apply in respect of premises let, or given on licence, to the Government or a local authority or taken on behalf of the Government on such basis by, or in the name of such officer;",tenancy law,Section 18,eng_maharashtra_rent_control_ac.pdf
Simplify the following tenancy law provision.,"or (iv) to premises belonging to or vested in an university established by any law for the time being force: Provided that, before issuing any direction under this sub-section, the State Government shall ensure that the tenancy rights of the existing tenants are not adversely affected.","or (iv) to premises belonging to or vested in an university established by any law for the time being force: Provided that, before issuing any direction under this sub-section, the State Government shall ensure that the tenancy rights of the existing tenants are not adversely affected.",Section 18,eng_maharashtra_rent_control_ac.pdf
Summarize the following tenancy law clause.,"or (iv) to premises belonging to or vested in an university established by any law for the time being force: Provided that, before issuing any direction under this sub-section, the State Government shall ensure that the tenancy rights of the existing tenants are not adversely affected.","or (iv) to premises belonging to or vested in an university established by any law for the time being force: Provided that, before issuing any direction under this sub-section, the State Government shall ensure that the tenancy rights of the existing tenants are not adversely affected.",Section 18,eng_maharashtra_rent_control_ac.pdf
Identify the legal topic of the following clause.,"or (iv) to premises belonging to or vested in an university established by any law for the time being force: Provided that, before issuing any direction under this sub-section, the State Government shall ensure that the tenancy rights of the existing tenants are not adversely affected.",tenancy law,Section 18,eng_maharashtra_rent_control_ac.pdf
Simplify the following tenancy law provision.,"Power of State Government to issue orders in respect of premises belonging to local authority, etc.— Notwithstanding anything contained in this Act, the State Government may from time to time, by general or special order, direct that the exemption granted to a local authority under sub-section (1) of section 3 shall be subject to such conditions and terms as it may specify either generally or specially in any particular case, as the State Government may in its discretion determine.","Power of State Government to issue orders in respect of premises belonging to local authority, etc.— Notwithstanding anything contained in this Act, the State Government may from time to time, by general or special order, direct that the exemption granted to a local authority under sub-section (1) of section 3 shall be subject to such conditions and terms as it may specify either generally or specially in any particular case, as the State Government may in its discretion determine.",Section 18,eng_maharashtra_rent_control_ac.pdf
Provide a short summary of this legal provision.,"Power of State Government to issue orders in respect of premises belonging to local authority, etc.— Notwithstanding anything contained in this Act, the State Government may from time to time, by general or special order, direct that the exemption granted to a local authority under sub-section (1) of section 3 shall be subject to such conditions and terms as it may specify either generally or specially in any particular case, as the State Government may in its discretion determine.","Power of State Government to issue orders in respect of premises belonging to local authority, etc.— Notwithstanding anything contained in this Act, the State Government may from time to time, by general or special order, direct that the exemption granted to a local authority under sub-section (1) of section 3 shall be subject to such conditions and terms as it may specify either generally or specially in any particular case, as the State Government may in its discretion determine.",Section 18,eng_maharashtra_rent_control_ac.pdf
Identify the legal topic of the following clause.,"Power of State Government to issue orders in respect of premises belonging to local authority, etc.— Notwithstanding anything contained in this Act, the State Government may from time to time, by general or special order, direct that the exemption granted to a local authority under sub-section (1) of section 3 shall be subject to such conditions and terms as it may specify either generally or specially in any particular case, as the State Government may in its discretion determine.",tenancy law,Section 18,eng_maharashtra_rent_control_ac.pdf
Explain the following tenancy law clause in simple terms.,"Provisions with regard to standard rent not to apply to certain premises.— Notwithstanding anything contained in this Act, from the commencement of this Act, the provisions relating to standard rent and permitted increases shall not apply to any premises let to or given on licence in a building, whether newly constructed or otherwise where such premises were not let or given on licence for a continuous period of one year: Provided that, nothing in this section shall apply to,— (a) the premises referred to in sections 20 and 21;","Provisions with regard to standard rent not to apply to certain premises.— Notwithstanding anything contained in this Act, from the commencement of this Act, the provisions relating to standard rent and permitted increases shall not apply to any premises let to or given on licence in a building, whether newly constructed or otherwise where such premises were not let or given on licence for a continuous period of one year: Provided that, nothing in this section shall apply to,— (a) the premises referred to in sections 20 and 21;",Section 18,eng_maharashtra_rent_control_ac.pdf
Provide a short summary of this legal provision.,"Provisions with regard to standard rent not to apply to certain premises.— Notwithstanding anything contained in this Act, from the commencement of this Act, the provisions relating to standard rent and permitted increases shall not apply to any premises let to or given on licence in a building, whether newly constructed or otherwise where such premises were not let or given on licence for a continuous period of one year: Provided that, nothing in this section shall apply to,— (a) the premises referred to in sections 20 and 21;","Provisions with regard to standard rent not to apply to certain premises.— Notwithstanding anything contained in this Act, from the commencement of this Act, the provisions relating to standard rent and permitted increases shall not apply to any premises let to or given on licence in a building, whether newly constructed or otherwise where such premises were not let or given on licence for a continuous period of one year: Provided that, nothing in this section shall apply to,— (a) the premises referred to in sections 20 and 21;",Section 18,eng_maharashtra_rent_control_ac.pdf
Identify the legal topic of the following clause.,"Provisions with regard to standard rent not to apply to certain premises.— Notwithstanding anything contained in this Act, from the commencement of this Act, the provisions relating to standard rent and permitted increases shall not apply to any premises let to or given on licence in a building, whether newly constructed or otherwise where such premises were not let or given on licence for a continuous period of one year: Provided that, nothing in this section shall apply to,— (a) the premises referred to in sections 20 and 21;",tenancy law,Section 18,eng_maharashtra_rent_control_ac.pdf
Interpret this legal clause related to tenancy law.,"XXIV of 1961) or any foreign consulate, by whatever name called, and on the 7th December 1996, being the date of coming into force of the Bombay Rents, Hotel and Lodging House Rates Control, Bombay Rents, Hotel and Lodging House Rates Control, Bombay Land Requisition and Bombay Government Premises (Eviction) (Amendment) Act, 1996 (Mah.","XXIV of 1961) or any foreign consulate, by whatever name called, and on the 7th December 1996, being the date of coming into force of the Bombay Rents, Hotel and Lodging House Rates Control, Bombay Rents, Hotel and Lodging House Rates Control, Bombay Land Requisition and Bombay Government Premises (Eviction) (Amendment) Act, 1996 (Mah.",Section 18,eng_maharashtra_rent_control_ac.pdf
Summarize the following tenancy law clause.,"XXIV of 1961) or any foreign consulate, by whatever name called, and on the 7th December 1996, being the date of coming into force of the Bombay Rents, Hotel and Lodging House Rates Control, Bombay Rents, Hotel and Lodging House Rates Control, Bombay Land Requisition and Bombay Government Premises (Eviction) (Amendment) Act, 1996 (Mah.","XXIV of 1961) or any foreign consulate, by whatever name called, and on the 7th December 1996, being the date of coming into force of the Bombay Rents, Hotel and Lodging House Rates Control, Bombay Rents, Hotel and Lodging House Rates Control, Bombay Land Requisition and Bombay Government Premises (Eviction) (Amendment) Act, 1996 (Mah.",Section 18,eng_maharashtra_rent_control_ac.pdf
Identify the legal topic of the following clause.,"XXIV of 1961) or any foreign consulate, by whatever name called, and on the 7th December 1996, being the date of coming into force of the Bombay Rents, Hotel and Lodging House Rates Control, Bombay Rents, Hotel and Lodging House Rates Control, Bombay Land Requisition and Bombay Government Premises (Eviction) (Amendment) Act, 1996 (Mah.",tenancy law,Section 18,eng_maharashtra_rent_control_ac.pdf
Explain the following tenancy law clause in simple terms.,"and (b) in relation to any premises requisitioned or continued under requisition which were allotted by the State Government for residential purpose to any person and on the 7th December 1996, being the date of coming into force of the Bombay Rents, Hotel and Lodging House Rates Control, Bombay Land Requisition and Bombay Government Premises (Eviction) (Amendment) Act, 1996 (Mah.","and (b) in relation to any premises requisitioned or continued under requisition which were allotted by the State Government for residential purpose to any person and on the 7th December 1996, being the date of coming into force of the Bombay Rents, Hotel and Lodging House Rates Control, Bombay Land Requisition and Bombay Government Premises (Eviction) (Amendment) Act, 1996 (Mah.",Section 18,eng_maharashtra_rent_control_ac.pdf
Summarize the following tenancy law clause.,"and (b) in relation to any premises requisitioned or continued under requisition which were allotted by the State Government for residential purpose to any person and on the 7th December 1996, being the date of coming into force of the Bombay Rents, Hotel and Lodging House Rates Control, Bombay Land Requisition and Bombay Government Premises (Eviction) (Amendment) Act, 1996 (Mah.","and (b) in relation to any premises requisitioned or continued under requisition which were allotted by the State Government for residential purpose to any person and on the 7th December 1996, being the date of coming into force of the Bombay Rents, Hotel and Lodging House Rates Control, Bombay Land Requisition and Bombay Government Premises (Eviction) (Amendment) Act, 1996 (Mah.",Section 18,eng_maharashtra_rent_control_ac.pdf
Identify the legal topic of the following clause.,"and (b) in relation to any premises requisitioned or continued under requisition which were allotted by the State Government for residential purpose to any person and on the 7th December 1996, being the date of coming into force of the Bombay Rents, Hotel and Lodging House Rates Control, Bombay Land Requisition and Bombay Government Premises (Eviction) (Amendment) Act, 1996 (Mah.",tenancy law,Section 18,eng_maharashtra_rent_control_ac.pdf
Explain the following tenancy law clause in simple terms.,"such person or his legal heir was in occupation or possession of such premises for his or such legal heir’s own residence, means such person or legal heir;","such person or his legal heir was in occupation or possession of such premises for his or such legal heir’s own residence, means such person or legal heir;",Section 18,eng_maharashtra_rent_control_ac.pdf
Summarize the following tenancy law clause.,"such person or his legal heir was in occupation or possession of such premises for his or such legal heir’s own residence, means such person or legal heir;","such person or his legal heir was in occupation or possession of such premises for his or such legal heir’s own residence, means such person or legal heir;",Section 18,eng_maharashtra_rent_control_ac.pdf
Identify the legal topic of the following clause.,"such person or his legal heir was in occupation or possession of such premises for his or such legal heir’s own residence, means such person or legal heir;",tenancy law,Section 18,eng_maharashtra_rent_control_ac.pdf
Explain the following tenancy law clause in simple terms.,"and includes any person not being a tenant who from time to time derives title under a landlord, and further includes in respect of his sub-tenant, a tenant who has sub-let any premise;","and includes any person not being a tenant who from time to time derives title under a landlord, and further includes in respect of his sub-tenant, a tenant who has sub-let any premise;",Section 18,eng_maharashtra_rent_control_ac.pdf
Provide a short summary of this legal provision.,"and includes any person not being a tenant who from time to time derives title under a landlord, and further includes in respect of his sub-tenant, a tenant who has sub-let any premise;","and includes any person not being a tenant who from time to time derives title under a landlord, and further includes in respect of his sub-tenant, a tenant who has sub-let any premise;",Section 18,eng_maharashtra_rent_control_ac.pdf
Identify the legal topic of the following clause.,"and includes any person not being a tenant who from time to time derives title under a landlord, and further includes in respect of his sub-tenant, a tenant who has sub-let any premise;",tenancy law,Section 18,eng_maharashtra_rent_control_ac.pdf
Interpret this legal clause related to tenancy law.,"and also includes, in respect of a licensee deemed to be a tenant under the provisions of the Bombay Rents, Hotel and Lodging House Rates Control Act, 1947 (Bom.","and also includes, in respect of a licensee deemed to be a tenant under the provisions of the Bombay Rents, Hotel and Lodging House Rates Control Act, 1947 (Bom.",Section 18,eng_maharashtra_rent_control_ac.pdf
Provide a short summary of this legal provision.,"and also includes, in respect of a licensee deemed to be a tenant under the provisions of the Bombay Rents, Hotel and Lodging House Rates Control Act, 1947 (Bom.","and also includes, in respect of a licensee deemed to be a tenant under the provisions of the Bombay Rents, Hotel and Lodging House Rates Control Act, 1947 (Bom.",Section 18,eng_maharashtra_rent_control_ac.pdf
Identify the legal topic of the following clause.,"and also includes, in respect of a licensee deemed to be a tenant under the provisions of the Bombay Rents, Hotel and Lodging House Rates Control Act, 1947 (Bom.",tenancy law,Section 18,eng_maharashtra_rent_control_ac.pdf
Simplify the following tenancy law provision.,"LVII of 1947), the licensor who has given premises on licence and in respect of the State Government, or as the case may be, the Government allottee referred to in sub-clause (b) of clause (2) deemed to be a tenant by section 27 the person who was entitled to receive the rent if the premises were let to a tenant immediately before the 7th December 1996, that is before the coming into force of the Bombay Rents, Hotel and Lodging House Rates Control, Bombay Land Requisition and the Bombay Government Premises (Eviction) (Amendment) Act, 1996 (Mah.","LVII of 1947), the licensor who has given premises on licence and in respect of the State Government, or as the case may be, the Government allottee referred to in sub-clause (b) of clause (2) deemed to be a tenant by section 27 the person who was entitled to receive the rent if the premises were let to a tenant immediately before the 7th December 1996, that is before the coming into force of the Bombay Rents, Hotel and Lodging House Rates Control, Bombay Land Requisition and the Bombay Government Premises (Eviction) (Amendment) Act, 1996 (Mah.",Section 18,eng_maharashtra_rent_control_ac.pdf
Provide a short summary of this legal provision.,"LVII of 1947), the licensor who has given premises on licence and in respect of the State Government, or as the case may be, the Government allottee referred to in sub-clause (b) of clause (2) deemed to be a tenant by section 27 the person who was entitled to receive the rent if the premises were let to a tenant immediately before the 7th December 1996, that is before the coming into force of the Bombay Rents, Hotel and Lodging House Rates Control, Bombay Land Requisition and the Bombay Government Premises (Eviction) (Amendment) Act, 1996 (Mah.","LVII of 1947), the licensor who has given premises on licence and in respect of the State Government, or as the case may be, the Government allottee referred to in sub-clause (b) of clause (2) deemed to be a tenant by section 27 the person who was entitled to receive the rent if the premises were let to a tenant immediately before the 7th December 1996, that is before the coming into force of the Bombay Rents, Hotel and Lodging House Rates Control, Bombay Land Requisition and the Bombay Government Premises (Eviction) (Amendment) Act, 1996 (Mah.",Section 18,eng_maharashtra_rent_control_ac.pdf
Identify the legal topic of the following clause.,"LVII of 1947), the licensor who has given premises on licence and in respect of the State Government, or as the case may be, the Government allottee referred to in sub-clause (b) of clause (2) deemed to be a tenant by section 27 the person who was entitled to receive the rent if the premises were let to a tenant immediately before the 7th December 1996, that is before the coming into force of the Bombay Rents, Hotel and Lodging House Rates Control, Bombay Land Requisition and the Bombay Government Premises (Eviction) (Amendment) Act, 1996 (Mah.",tenancy law,Section 18,eng_maharashtra_rent_control_ac.pdf
Interpret this legal clause related to tenancy law.,"XVIII (5) “Licensee” in respect of any premises or any part thereof, means the person who is in occupation of the premises or such part, as the case may be, under a subsisting agreement for a licence given for a licence fee or charge;","XVIII (5) “Licensee” in respect of any premises or any part thereof, means the person who is in occupation of the premises or such part, as the case may be, under a subsisting agreement for a licence given for a licence fee or charge;",Section 18,eng_maharashtra_rent_control_ac.pdf
Summarize the following tenancy law clause.,"XVIII (5) “Licensee” in respect of any premises or any part thereof, means the person who is in occupation of the premises or such part, as the case may be, under a subsisting agreement for a licence given for a licence fee or charge;","XVIII (5) “Licensee” in respect of any premises or any part thereof, means the person who is in occupation of the premises or such part, as the case may be, under a subsisting agreement for a licence given for a licence fee or charge;",Section 18,eng_maharashtra_rent_control_ac.pdf
Identify the legal topic of the following clause.,"XVIII (5) “Licensee” in respect of any premises or any part thereof, means the person who is in occupation of the premises or such part, as the case may be, under a subsisting agreement for a licence given for a licence fee or charge;",tenancy law,Section 18,eng_maharashtra_rent_control_ac.pdf
Explain the following tenancy law clause in simple terms.,"and includes any person in such occupation of any premises or part thereof in a building vesting in or leased to a Co-operative Housing society registered or deemed to be registered under the Maharashtra Co-operative Societies Act, 1960 (Mah.","and includes any person in such occupation of any premises or part thereof in a building vesting in or leased to a Co-operative Housing society registered or deemed to be registered under the Maharashtra Co-operative Societies Act, 1960 (Mah.",Section 18,eng_maharashtra_rent_control_ac.pdf
Summarize the following tenancy law clause.,"and includes any person in such occupation of any premises or part thereof in a building vesting in or leased to a Co-operative Housing society registered or deemed to be registered under the Maharashtra Co-operative Societies Act, 1960 (Mah.","and includes any person in such occupation of any premises or part thereof in a building vesting in or leased to a Co-operative Housing society registered or deemed to be registered under the Maharashtra Co-operative Societies Act, 1960 (Mah.",Section 18,eng_maharashtra_rent_control_ac.pdf
Identify the legal topic of the following clause.,"and includes any person in such occupation of any premises or part thereof in a building vesting in or leased to a Co-operative Housing society registered or deemed to be registered under the Maharashtra Co-operative Societies Act, 1960 (Mah.",tenancy law,Section 18,eng_maharashtra_rent_control_ac.pdf
Interpret this legal clause related to tenancy law.,"and the expressions “licence”, “licensor” and “premises given on license” shall be construed accordingly;","and the expressions “licence”, “licensor” and “premises given on license” shall be construed accordingly;",Section 18,eng_maharashtra_rent_control_ac.pdf
Provide a short summary of this legal provision.,"and the expressions “licence”, “licensor” and “premises given on license” shall be construed accordingly;","and the expressions “licence”, “licensor” and “premises given on license” shall be construed accordingly;",Section 18,eng_maharashtra_rent_control_ac.pdf
Identify the legal topic of the following clause.,"and the expressions “licence”, “licensor” and “premises given on license” shall be construed accordingly;",tenancy law,Section 18,eng_maharashtra_rent_control_ac.pdf
Explain the following tenancy law clause in simple terms.,"XVIII] The Maharashtra Rent Control Act, 1999 9 (i) the gardens, grounds, garages and out-houses, if any, appurtenant to such building or part of a building, (ii) any fitting affixed to such building or part of a building for the more beneficial enjoyment thereof, but does not include a room or other accommodation in a hotel or lodging house;","XVIII] The Maharashtra Rent Control Act, 1999 9 (i) the gardens, grounds, garages and out-houses, if any, appurtenant to such building or part of a building, (ii) any fitting affixed to such building or part of a building for the more beneficial enjoyment thereof, but does not include a room or other accommodation in a hotel or lodging house;",Section 18,eng_maharashtra_rent_control_ac.pdf
Provide a short summary of this legal provision.,"XVIII] The Maharashtra Rent Control Act, 1999 9 (i) the gardens, grounds, garages and out-houses, if any, appurtenant to such building or part of a building, (ii) any fitting affixed to such building or part of a building for the more beneficial enjoyment thereof, but does not include a room or other accommodation in a hotel or lodging house;","XVIII] The Maharashtra Rent Control Act, 1999 9 (i) the gardens, grounds, garages and out-houses, if any, appurtenant to such building or part of a building, (ii) any fitting affixed to such building or part of a building for the more beneficial enjoyment thereof, but does not include a room or other accommodation in a hotel or lodging house;",Section 18,eng_maharashtra_rent_control_ac.pdf
Identify the legal topic of the following clause.,"XVIII] The Maharashtra Rent Control Act, 1999 9 (i) the gardens, grounds, garages and out-houses, if any, appurtenant to such building or part of a building, (ii) any fitting affixed to such building or part of a building for the more beneficial enjoyment thereof, but does not include a room or other accommodation in a hotel or lodging house;",tenancy law,Section 18,eng_maharashtra_rent_control_ac.pdf
Interpret this legal clause related to tenancy law.,"LVII of 1947), or the Central Provinces and Berar Letting of Houses and Rent Control Order, 1949 issued under the Central Provinces and Berar Regulation of Letting of Accommodation Act, 1946 (C.","LVII of 1947), or the Central Provinces and Berar Letting of Houses and Rent Control Order, 1949 issued under the Central Provinces and Berar Regulation of Letting of Accommodation Act, 1946 (C.",Section 18,eng_maharashtra_rent_control_ac.pdf
Summarize the following tenancy law clause.,"LVII of 1947), or the Central Provinces and Berar Letting of Houses and Rent Control Order, 1949 issued under the Central Provinces and Berar Regulation of Letting of Accommodation Act, 1946 (C.","LVII of 1947), or the Central Provinces and Berar Letting of Houses and Rent Control Order, 1949 issued under the Central Provinces and Berar Regulation of Letting of Accommodation Act, 1946 (C.",Section 18,eng_maharashtra_rent_control_ac.pdf
Identify the legal topic of the following clause.,"LVII of 1947), or the Central Provinces and Berar Letting of Houses and Rent Control Order, 1949 issued under the Central Provinces and Berar Regulation of Letting of Accommodation Act, 1946 (C.",tenancy law,Section 18,eng_maharashtra_rent_control_ac.pdf
Interpret this legal clause related to tenancy law.,"XI of 1946), or the Hyderabad Houses (Rent, Eviction and Lease) Control Act, 1954 (Hyd.","XI of 1946), or the Hyderabad Houses (Rent, Eviction and Lease) Control Act, 1954 (Hyd.",Section 18,eng_maharashtra_rent_control_ac.pdf
Summarize the following tenancy law clause.,"XI of 1946), or the Hyderabad Houses (Rent, Eviction and Lease) Control Act, 1954 (Hyd.","XI of 1946), or the Hyderabad Houses (Rent, Eviction and Lease) Control Act, 1954 (Hyd.",Section 18,eng_maharashtra_rent_control_ac.pdf
Identify the legal topic of the following clause.,"XI of 1946), or the Hyderabad Houses (Rent, Eviction and Lease) Control Act, 1954 (Hyd.",tenancy law,Section 18,eng_maharashtra_rent_control_ac.pdf
Explain the following tenancy law clause in simple terms.,"XX of 1954), such rent plus an increase of 5 per cent., in the rent so fixed;","XX of 1954), such rent plus an increase of 5 per cent., in the rent so fixed;",Section 18,eng_maharashtra_rent_control_ac.pdf
Summarize the following tenancy law clause.,"XX of 1954), such rent plus an increase of 5 per cent., in the rent so fixed;","XX of 1954), such rent plus an increase of 5 per cent., in the rent so fixed;",Section 18,eng_maharashtra_rent_control_ac.pdf
Identify the legal topic of the following clause.,"XX of 1954), such rent plus an increase of 5 per cent., in the rent so fixed;",tenancy law,Section 18,eng_maharashtra_rent_control_ac.pdf
Interpret this legal clause related to tenancy law.,"or (b) where the standard rent or fair rent is not so fixed, then subject to the provisions of sections 6 and 8,— (i) the rent at which the premises were let on the 1st day of October 1987;","or (b) where the standard rent or fair rent is not so fixed, then subject to the provisions of sections 6 and 8,— (i) the rent at which the premises were let on the 1st day of October 1987;",Section 18,eng_maharashtra_rent_control_ac.pdf
Provide a short summary of this legal provision.,"or (b) where the standard rent or fair rent is not so fixed, then subject to the provisions of sections 6 and 8,— (i) the rent at which the premises were let on the 1st day of October 1987;","or (b) where the standard rent or fair rent is not so fixed, then subject to the provisions of sections 6 and 8,— (i) the rent at which the premises were let on the 1st day of October 1987;",Section 18,eng_maharashtra_rent_control_ac.pdf
