question,answer,source
Simplify this clause,"The State Government/ Union territory Administration may, in consultation with the jurisdictional High Court, may by notification, Rent Tribunal appoint District Judge or Additional District Judge as Rent Tribunal in each district.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(1) Save as provided in this section, nothing contained in the Code of Civil Procedure, 1908 shall apply to the Rent Courts and Procedure to be 5 of followed in Rent Rent Tribunals, which shall be guided by the principles of natural 1908 Court and Rent justice and shall have power to regulate their own procedure in the Tribunal.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"following manner, namely:–– (a) the landlord or the tenant may file an application or appeal before the Rent Court or, as the case may be, the Rent Tribunal accompanied by affidavit and documents, if any; (b) the Rent Court or, as the case may be, the Rent Tribunal shall then issue notice to the opposite party, accompanied by copies of application or appeal, affidavit and documents; (c) the opposite party shall file a reply accompanied by affidavit and documents, if any, after serving a copy of the same to the applicant; (d) the applicant may file a rejoinder, if any, after serving the copy to the opposite party; Page 18 of 28",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(e) the Rent Court or, as the case may be, the Rent Tribunal shall fix a date of hearing and may hold such summary inquiry as it deems necessary.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(2) The Rent Court or, as the case may be, the Rent Tribunal shall endeavor to dispose the case as expeditiously as possible, not exceeding a period of sixty days from the date of receipt of the application or appeal: Provided that where any such application or, as the case may be, appeal could not be disposed of within the said period of sixty days, the Rent Court or the Rent Tribunal shall record its reasons in writing for not disposing of the application or appeal within that period.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(3) In every application or appeal, before the Rent Court or the Rent Tribunal, the evidence of a witness shall be given by affidavit: Provided that the Rent Court or, as the case may be, the Rent Tribunal may, where it appears to it that it is necessary in the interest of justice to call a witness for examination or cross-examination, order attendance of such witness to be present for examination or cross-examination.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"5 of (4) The provisions of the Code of Civil Procedure, 1908 regarding 1908 service of summons shall be applicable mutatis mutandis for service of notice by the Rent Court or Rent Tribunal.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(6) The Rent Authority or Rent Court or the Rent Tribunal as the case may be, shall not allow more than three adjournments at the request of a party throughout the proceedings and in case of reasonable and sufficient cause to do so, it shall record the reasons for the same in writing and order the party requesting adjournment to pay a reasonable cost.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(7) Every application under clauses (a), (b), (e), (f) and (g) of sub- section (2) of section 21 or under section 22 shall be decided within ninety days from the date of filing of such application in the Rent Court.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,(8) The Rent Court shall decide every application filed under clause (c) and (d) of sub-section (2) of section 21 within thirty days from the date of filing of such application.,PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(1) The Rent Court and the Rent Tribunal shall, for discharging Powers of Rent their functions under this Act, have the same powers as are vested in Court and Rent 5 of Tribunal.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"documents; (d) issuing commission for local investigation; (e) receiving evidence on affidavits; (f) dismissing an application or appeal for default or deciding it ex- parte; (g) setting aside any order of dismissal of any application or appeal for default or any other order passed by it ex-parte; (h) execution of its orders and decisions under this Act without reference to any civil court; (i) reviewing its orders and decisions; (j) revision of orders and decisions of Rent Authority and Rent Court and; (k) any other matter, which may be prescribed.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(2) Any proceedings before the Rent Court or Rent Tribunal shall be deemed to be a judicial proceeding within the meaning of section 193 and 228, and for the purpose of section 196, of the Indian Penal 45 of 1860.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"1974 (3) For the purposes of holding any inquiry or discharging any duty under this Act, the Rent Court may,–– (a) after giving not less than twenty-four hours notice in writing, enter and inspect or authorise any officer, subordinate to it, to enter and inspect, any premises at any time between sunrise and sunset; (b) by written order, require any person to produce for its inspection such books or documents relevant to the inquiry, at such time and at such place as may be specified in the order.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(4) The Rent Court may, if it thinks fit, appoint one or more persons having special knowledge of the matter under consideration as an assessor or valuer to advise it in the proceeding before it.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(5) Any clerical or arithmetical mistake in any order passed by the Rent Court or any other error arising out of any accidental omission may, at any time, be corrected by the Rent Court on an application received by it in this behalf from any of the parties or otherwise.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(7) An order made by a Rent Court or an order passed in appeal or revision, or review under this Chapter shall be executable by the Page 20 of 28",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"Rent Court as a decree of a civil court and for this purpose, the Rent Court shall have the powers of a civil court.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,(8) The Rent Court may set aside any order passed ex-parte if the aggrieved party files an application and satisfies it that notice was not duly served or that he was prevented by any sufficient cause from appearing when the case was taken up for hearing.,PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(9) Save as otherwise expressly provided in this Act, every order made by the Rent Court shall, subject to decision in appeal, be final and shall not be called in question in any original suit, application or execution proceedings.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(1) Any person aggrieved by an order passed by the Rent Court, Appeal to Rent may prefer an appeal along with a certified copy of such order to the Tribunal.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"jurisdictional Rent Tribunal within the local limits of which the premises is situated, within a period of thirty days from the date of that order.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(2) The Rent Tribunal, upon filing an appeal under sub-section (1) shall serve notice, along with a copy of appeal to the respondent and fix a hearing not later than thirty days from the date of service of notice of appeal on the respondent and the appeal shall be disposed of within a period of sixty days from such date of service.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(3) Where the Rent Tribunal considers it necessary in the interest of arriving at a just and proper decision, it may allow documents at any stage of the proceedings in appeal: Provided that no such document shall be allowed more than once during the hearing.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(4) The Rent Tribunal may, in its discretion, pass such interlocutory order during the pendency of the appeal, as it may deem fit.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(5) While deciding the appeal, the Rent Tribunal may, after recording reasons therefor, confirm, set aside or modify the order passed by a Rent Court.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(1) The Rent Court shall, on an application filed by any party, execute an order of a Rent Court or a Rent Tribunal or any other Execution of order made under this Act, in such manner as may be prescribed, order by–– Page 21 of 28",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,(a) delivering possession of the premises to the person in whose favour the decision has been made; or (b) attaching one or more bank accounts of the opposite party for the purpose of recovering the amount specified in such order; or (c) appointing any advocate or any other competent person including officers of the Rent Court or local administration or local body for the execution of such order.,PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,(2) The Rent Court may take the help from the Local Government or local body or the local police for the execution of the final orders: Provided that no applicant shall obtain police help unless he pays such costs as may be decided by the Rent Court.,PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(3) The Rent Court shall conduct the execution proceedings, in relation to its order or an order of a Rent Tribunal or any other order passed under this Act, in a summary manner and dispose of the application for execution made under this section within a period of thirty days from the date of service of notice on opposite party.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"The State Government/Union territory Administration may, in Officers and consultation with the Rent Authority or Rent Court or Rent Tribunal, other employees determine the nature and categories of officers and other employees of Rent Authority, as it considers necessary and appoint such officers and other Rent Court and Rent Tribunal.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,(2) The jurisdiction of the Rent Court shall be limited to tenancy agreement submitted to it as specified in the First Schedule and shall not extend to the question of title or ownership of premises.,PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"1870 respect of applications or appeals to be presented before the Rent Authority or Rent Court or Rent Tribunal, as the case may be.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(2) For the purposes of computation of court fees, the application for recovery of possession made to the Rent Court and the memorandum of appeals presented before the Rent Tribunal, shall be deemed to be a suit between the landlord and the tenant.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,(3) The court fees for the application filed before the Rent Authority shall be same as that of an interlocutory application presented in a civil court.,PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"Every member of Rent Authority, Rent Court and Rent Tribunal Members, etc., to 45 of appointed under this Act shall be deemed to be a public servant be public 1860 within the meaning of section 21 of the Indian Penal Code.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"No suit, prosecution or other legal proceeding shall lie against Protection of any person, Rent Authority, Rent Court or Rent Tribunal in respect of action taken in good faith.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(2) In particular and without prejudice to the generality of the foregoing power, such rules may provide for all or any of the following matters, namely:–– (a) the form and manner of digital platform to be put in place by the Rent Authority in the local vernacular language or the language of the State/Union territory for enabling submissions of documents under sub- section (3) of section 4; (b) the manner of payment of rent and other charges to the landlord by the tenant by postal money order or any other method and the manner of deposit of rent and other charges with the Rent Authority on refusal by landlord to accept the same under sub-section (1) and the manner of deposit of rent with the Rent Authority under sub-section (2), of section 14; (c) manner of making an application for the recovery of possession of the premises under sub-section (2) of section 21; Page 23 of 28",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(d) form and manner of making an application for the recovery of possession of the premises under sub- section (1) of section 22; (e) rate of interest payable to the tenant where the landlord fails to make refund under sub-section (2) of section 24; (f) the form and manner of filing application by the landlord before the Rent Court for obtaining possession of the premises let out on rent for erecting building under sub- section (1) of section 27; (g) the form of filing application before Rent Court and appeal before the Rent Tribunal under sub-section (5) of section 35; (h) any other matter to be provided under clause (k) of sub- section (1) of section 36; (i) the manner of execution of an order of a Rent Court or a Rent Tribunal or any other order made under this Act under sub-section (1) of section 38; (j) any other matter which is required to be, or may be, prescribed under the provisions of this Act.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(1) The State/Union territory Rent Control Act, which is in force Repeal and immediately before the commencement of this Act, is hereby savings.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(2) Notwithstanding such repeal, all cases and other proceedings under the said State/Union territory Rent Control Act pending, at the commencement of this Act, shall be continued and disposed of in accordance with the provisions of the said State/Union territory Rent Control Act, as if that Act had continued to be in force and this Act had not been enacted.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"THE FIRST SCHEDULE [See section 4(1)] FORM FOR INFORMATION OF TENANCY To, The Rent Authority ___________________ ________________ (Address) 1.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"Name(s) and address of the tenant, including : _____________________ email and contact details, 4.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"Description of premises let to the tenant : _____________________ including appurtenant land, if any 6.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,Date from which possession is given to the : _____________________ tenant 7.,PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,Mobile Number & E-mail id of landlord : ___________________ (if available) 15.,PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,Mobile Number & E-mail id of : _____________________________ Property Manager (if any) Name and signature of landlord Name and signature of tenant Photograph of Photograph of tenant landlord Enclosed: 1.,PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"THE SECOND SCHEDULE [See section 15 (1)] DIVISION OF MAINTENANCE RESPONSIBILITY BETWEEN THE LANDLORD AND THE TENANTS Unless otherwise agreed in the tenancy agreement, the landlord shall be responsible for repairs relating to matters falling under Part A and the tenant shall be responsible for matters falling under Part B.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,Maintenance of gardens and open spaces let out to or used by the tenant.,PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"XVIII] 1 THE MAHARASHTRA RENT CONTROL ACT, 1999 [Text as on 7th March 2025] __________ CONTENTS PREAMBLE.",PDF:eng_maharashtra_rent_control_ac.pdf
Simplify this clause,"Power of State Government to issue orders in respect of premises belonging to local authority, etc.",PDF:eng_maharashtra_rent_control_ac.pdf
Simplify this clause,Provisions with regard to standard rent not to apply to certain premises.,PDF:eng_maharashtra_rent_control_ac.pdf
Simplify this clause,"Increase in rent annually and on account of improvement, etc., special addition, etc., and special or heavy repairs.",PDF:eng_maharashtra_rent_control_ac.pdf
Simplify this clause,No ejectment ordinarily to be made if tenant pays or is ready and willing to pay standard rent and permitted increases.,PDF:eng_maharashtra_rent_control_ac.pdf
Simplify this clause,Tenants’ right to give notice to landlord of his intention to occupy tenement in new building.,PDF:eng_maharashtra_rent_control_ac.pdf
Simplify this clause,Landlord to intimate to tenant date of completion and tenant’s right to occupy premises in new building.,PDF:eng_maharashtra_rent_control_ac.pdf
Simplify this clause,"Members of armed forces of the Union, scientists or their successor-in-interest entitled to recover possession of premises required for their occupation.",PDF:eng_maharashtra_rent_control_ac.pdf
Simplify this clause,Landlord entitled to recover possession of premises given on licence on expiry.,PDF:eng_maharashtra_rent_control_ac.pdf
Simplify this clause,In absence of contract tenant not to sub-let or transfer or to give on licence.,PDF:eng_maharashtra_rent_control_ac.pdf
Simplify this clause,State Government or Government allottee to become tenant of premises requisitioned or continued under requisition.,PDF:eng_maharashtra_rent_control_ac.pdf
Simplify this clause,Special provision for making application to Competent Authority by landlord to evict tenant or licensee.,PDF:eng_maharashtra_rent_control_ac.pdf
Simplify this clause,"XVIII OF 20001 [THE MAHARASHTRA RENT CONTROL ACT, 1999.] [This Act received the assent of the President on the 8th March 2000; assent was first published in the Maharashtra Government Gazette, Part-IV, on the 10th March 2000.] An Act to unify, consolidate and amend the law relating to the control of rent and repairs of certain premises and of eviction and for encouraging the construction of new houses by assuring a fair return on the investment by landlords and to provide for the matters connected with the purposes aforesaid.",PDF:eng_maharashtra_rent_control_ac.pdf
Simplify this clause,"WHEREAS it is expedient to unify, consolidate and amend the laws prevailing in the different parts of the State relating to the control of rents and repairs of certain premises and of eviction and for encouraging the construction of new houses by assuring a fair return and to provide for the matters connected with the purposes aforesaid; It is hereby enacted in the Fiftieth Year if the Republic of India as follows :— CHAPTER I PRELIMINARY 1.",PDF:eng_maharashtra_rent_control_ac.pdf
Simplify this clause,"Short title, extent and commencement.— (1) This Act may be called the Maharashtra Rent Control Act, 1999.",PDF:eng_maharashtra_rent_control_ac.pdf
Simplify this clause,"Application.— (1) This Act shall, in the first instance, apply to premises let for the purposes of residence, education, business, trade or storage in the areas specified in Schedule I and Schedule II.",PDF:eng_maharashtra_rent_control_ac.pdf
Simplify this clause,"(2) Notwithstanding anything contained in sub-section (1),it shall also apply in the premises or, as the case may be, houses let out in the areas to which the Bombay Rents, Hotel and Lodging House Rates Control Act, 1947 (Bom.",PDF:eng_maharashtra_rent_control_ac.pdf
Simplify this clause,"LVII of 1947) or the Central Provinces and Berar Letting of Houses and Rent Control Order, 1949 issued under the Central Provinces and Berar Regulation of Letting of Accommodation Act, 1946 (C.",PDF:eng_maharashtra_rent_control_ac.pdf
Simplify this clause,"and Berar Act XI of 1946) and Hyderabad Houses (Rent, Eviction and Lease) Control Act, 1954 (Hyd.",PDF:eng_maharashtra_rent_control_ac.pdf
Simplify this clause,"XX of 1954) were extended and applied before the date of commencement of this Act and such premises or houses continue to be so let on that date in such areas which are specified in Schedule I to this Act, notwithstanding that the area ceases to be of the description therein specified.",PDF:eng_maharashtra_rent_control_ac.pdf
Simplify this clause,(3) It shall also apply to the premises let for the purposes specified in sub-section (1) in such of the cities or towns as specified in Schedule II.,PDF:eng_maharashtra_rent_control_ac.pdf
Simplify this clause,"(4) Notwithstanding anything contained hereinabove, the State Government may, by notification in the Official Gazette, direct that,— (a) this Act shall not apply to any to the areas specified in Schedule I or Schedule II or that it shall not apply to any one or all purposes specified in sub-section (1); (b) this Act shall apply to any premises let for any or all purposes specified in sub-section (1) in the areas other than those specified in Schedule I and Schedule II.",PDF:eng_maharashtra_rent_control_ac.pdf
Simplify this clause,"Exemption.— (1) This Act shall not apply,— (a) to any premises belonging to the Government or a local authority or apply as against the Government to any tenancy, licence or other like relationship created by a grant from or a licence given by the Government in respect of premises requisitioned or taken on lease or on licence by the Government, including any premises taken on behalf of the Government on the basis of 1 For Statement of Objects and Reasons of the L.",PDF:eng_maharashtra_rent_control_ac.pdf
Simplify this clause,"XVIII tenancy or of licence or other or other like relationship by, or in the name of any officer subordinate to the Government authorised in this behalf; but it shall apply in respect of premises let, or given on licence, to the Government or a local authority or taken on behalf of the Government on such basis by, or in the name of such officer; (b) to any premises let or sub-let to banks, or any Public Sector Undertakings or any Corporation established by or under any Central or State Act, or foreign missions, international agencies, multinational companies, and private limited companies and public limited companies having a paid up share capital of rupees one crore or more.",PDF:eng_maharashtra_rent_control_ac.pdf
Simplify this clause,"(2) The State Government may direct that all or any of the provisions of this Act, shall, subject to such conditions and terms, as it may specify, not apply— (i) to premises used for public purpose of a charitable nature or to any class of premises used for such purpose; (ii) to premises held by a public trust for a religious or charitable purpose and let at a nominal or concessional rent; (iii) to premises held by a public trust for a religious or charitable purpose and administered by a local authority; or (iv) to premises belonging to or vested in an university established by any law for the time being force: Provided that, before issuing any direction under this sub-section, the State Government shall ensure that the tenancy rights of the existing tenants are not adversely affected.",PDF:eng_maharashtra_rent_control_ac.pdf
Simplify this clause,"(3) The expression “premises belonging to the Government or a local authority” in sub-section (1) shall, notwithstanding anything contained in the said sub-section or in any judgement, decree or order of a court, not include a building erected on any land held by any person from the Government or a local authority under an agreement, lease, licence or other grant, although having regard to the provisions of such agreement, lease, licence or grant, the building so erected may belong or continue to belong the Government or the local authority, as the case may be, and such person shall be entitled to create a tenancy in respect of such building or a part thereof.",PDF:eng_maharashtra_rent_control_ac.pdf
Simplify this clause,"Power of State Government to issue orders in respect of premises belonging to local authority, etc.— Notwithstanding anything contained in this Act, the State Government may from time to time, by general or special order, direct that the exemption granted to a local authority under sub-section (1) of section 3 shall be subject to such conditions and terms as it may specify either generally or specially in any particular case, as the State Government may in its discretion determine.",PDF:eng_maharashtra_rent_control_ac.pdf
Simplify this clause,"Provisions with regard to standard rent not to apply to certain premises.— Notwithstanding anything contained in this Act, from the commencement of this Act, the provisions relating to standard rent and permitted increases shall not apply to any premises let to or given on licence in a building, whether newly constructed or otherwise where such premises were not let or given on licence for a continuous period of one year: Provided that, nothing in this section shall apply to,— (a) the premises referred to in sections 20 and 21; (b) the premises which are constructed or reconstructed in any housing scheme, undertaken by Government or the Maharashtra Housing and Area Development Authority or by any of its Boards established under section 18 of the Maharashtra Housing Area Development Act, 1976 (Mah.",PDF:eng_maharashtra_rent_control_ac.pdf
Simplify this clause,"Definitions.— In this Act, unless there is anything repugnant to the subject or context,— (1) “Competent Authority” means the competent authority appointed under section 40; (2) “Government allottee”,— (a) In relation to any premises requisitioned or continued under requisition which are allotted the State Government for any non-residential purpose to any Department or office of the State Government or Central Government or any public sector undertaking or corporation owned or controlled fully or partly by the State Government or any Co- operative Society registered under the Maharashtra Co-operative Societies Act, 1960 (Mah.",PDF:eng_maharashtra_rent_control_ac.pdf
Simplify this clause,"XXIV of 1961) or any foreign consulate, by whatever name called, and on the 7th December 1996, being the date of coming into force of the Bombay Rents, Hotel and Lodging House Rates Control, Bombay Rents, Hotel and Lodging House Rates Control, Bombay Land Requisition and Bombay Government Premises (Eviction) (Amendment) Act, 1996 (Mah.",PDF:eng_maharashtra_rent_control_ac.pdf
Simplify this clause,"XVI of 1997) were in their occupation or possession, means the principal officer-in-charge of such office or department or public sector undertaking or corporation or society or corporation or society or consulate; and (b) in relation to any premises requisitioned or continued under requisition which were allotted by the State Government for residential purpose to any person and on the 7th December 1996, being the date of coming into force of the Bombay Rents, Hotel and Lodging House Rates Control, Bombay Land Requisition and Bombay Government Premises (Eviction) (Amendment) Act, 1996 (Mah.",PDF:eng_maharashtra_rent_control_ac.pdf
Simplify this clause,"XVI of 1997); such person or his legal heir was in occupation or possession of such premises for his or such legal heir’s own residence, means such person or legal heir; (3) “Landlord” means any person who is for the time being, receiving, or entitled to receive rent in respect of any premises whether on his own account or on account or on behalf, or for the benefit, of any other person or or as a trustee, guardian, or receiver, for any other person or who would so receive the rent or be entitled to receive the rent if the premises were let to a tenant; and includes any person not being a tenant who from time to time derives title under a landlord, and further includes in respect of his sub-tenant, a tenant who has sub-let any premise; and also includes, in respect of a licensee deemed to be a tenant under the provisions of the Bombay Rents, Hotel and Lodging House Rates Control Act, 1947 (Bom.",PDF:eng_maharashtra_rent_control_ac.pdf
Simplify this clause,"LVII of 1947), the licensor who has given premises on licence and in respect of the State Government, or as the case may be, the Government allottee referred to in sub-clause (b) of clause (2) deemed to be a tenant by section 27 the person who was entitled to receive the rent if the premises were let to a tenant immediately before the 7th December 1996, that is before the coming into force of the Bombay Rents, Hotel and Lodging House Rates Control, Bombay Land Requisition and the Bombay Government Premises (Eviction) (Amendment) Act, 1996 (Mah.",PDF:eng_maharashtra_rent_control_ac.pdf
Simplify this clause,"XVIII (5) “Licensee” in respect of any premises or any part thereof, means the person who is in occupation of the premises or such part, as the case may be, under a subsisting agreement for a licence given for a licence fee or charge; and includes any person in such occupation of any premises or part thereof in a building vesting in or leased to a Co-operative Housing society registered or deemed to be registered under the Maharashtra Co-operative Societies Act, 1960 (Mah.",PDF:eng_maharashtra_rent_control_ac.pdf
Simplify this clause,"XXVIII of 1977), (h) the City and Industrial Development Corporation, (i) the Pimpri and Chinchwad New Township Development Authority; (7) “paying guest” means a person, not being a member of the family, who is given a part of the premises, in which the licensor resides, on licence; (8) “permitted increase” means an increase in rent permitted under the provisions of this Act; (9) “premises” means any building or part of a building let or given on licence separately (other than a farm building) including,— 1 This Act has been repealed by the Bombay Provincial Municipal Corporations (Amendment) and the city of Nagpur Corporation (Repeal) Act, 2011 (Mah.",PDF:eng_maharashtra_rent_control_ac.pdf
Simplify this clause,"XVIII] The Maharashtra Rent Control Act, 1999 9 (i) the gardens, grounds, garages and out-houses, if any, appurtenant to such building or part of a building, (ii) any fitting affixed to such building or part of a building for the more beneficial enjoyment thereof, but does not include a room or other accommodation in a hotel or lodging house; (10) “premises requisitioned or continued under requisition” means the premises requisitioned or continued under requisition under the 1Bombay Land Requisition Act, 1948 (Bom.",PDF:eng_maharashtra_rent_control_ac.pdf
Simplify this clause,"XXXIII of 1948); (11) “prescribed” means prescribed by rules; (12) “repealed Act” or “repealed Acts” means the Act, or Acts referred to in the section 58; (13) “rules” means the rules made under this Act; (14) “standard rent” in relation to any premises means,— (a) where the standard rent is fixed by the Court or, as the case may be, the Controller under the Bombay Rents Restriction Act, 1939 (Bom.",PDF:eng_maharashtra_rent_control_ac.pdf
Simplify this clause,"XVI of 1939), or the Bombay Rents Hotel Rates and Lodging House Rates (Control) Act, 1944 (Bom.",PDF:eng_maharashtra_rent_control_ac.pdf
Simplify this clause,"VII of 1944) or the Bombay Rents, Hotel and Lodging House Rates Control Act, 1947 (Bom.",PDF:eng_maharashtra_rent_control_ac.pdf
Simplify this clause,"LVII of 1947), or the Central Provinces and Berar Letting of Houses and Rent Control Order, 1949 issued under the Central Provinces and Berar Regulation of Letting of Accommodation Act, 1946 (C.",PDF:eng_maharashtra_rent_control_ac.pdf
Simplify this clause,"XI of 1946), or the Hyderabad Houses (Rent, Eviction and Lease) Control Act, 1954 (Hyd.",PDF:eng_maharashtra_rent_control_ac.pdf
Simplify this clause,"XX of 1954), such rent plus an increase of 5 per cent., in the rent so fixed; or (b) where the standard rent or fair rent is not so fixed, then subject to the provisions of sections 6 and 8,— (i) the rent at which the premises were let on the 1st day of October 1987; or (ii) where the premises were not let on the 1st day of October 1987 or the rent at which they were last let before that day, plus increase of 5 per cent.",PDF:eng_maharashtra_rent_control_ac.pdf
Simplify this clause,"in the rent of the premises let before the 1st day of October 1987, or (c) in any of the cases specified in section 8, the rent fixed by the Court; (15) “tenant” means any person by whom or on whose account rent is payable for any premises and includes,— (a) such person,— (i) who is a tenant, or (ii) who is a deemed tenant, or (iii) who is a sub-tenant as permitted under a contract or by the permission or consent of the landlord, or (iv) who has derived title under a tenant, or (v) to whom interest in premises has been assigned or transferred as permitted, by virtue of, under the provisions of, any of the repealed Acts; (b) a person who is deemed to be a tenant under section 25; (c) a person to whom interest in premises has been assigned or transferred as permitted under section 26; (d) in relation to any premises, when the tenant dies, whether the death occurred before or after the commencement of this Act, any member of the tenant’s family, who,— 1 The short title of this Act has been amended as “Maharashtra Land Requisition Act” by Mah.",PDF:eng_maharashtra_rent_control_ac.pdf
Simplify this clause,"XVIII (i) where they are let for residence, is residing, or (ii) where they are let for education, business, trade or storage, is using the premises for any such purpose, with the tenant at the time of his death, or in the absence of such member, any heir of the deceased tenant, as may be decided, in the absence of agreement by, the court.",PDF:eng_maharashtra_rent_control_ac.pdf
Simplify this clause,"Explanation.— The provisions of this clause for transmission of tenancy shall not be restricted to the death of the original tenant, but shall apply even on the death of any subsequent tenant, who becomes tenant under these provisions on the death of the last preceding tenant.",PDF:eng_maharashtra_rent_control_ac.pdf
Simplify this clause,"Court may fix standard rent and permitted increases in certain cases.— (1) Subject to the provisions of section 9 in any of the following cases, the court may, upon an application made to it for the purpose, or in any suit or proceedings, fix the standard rent at such amount as, having regard to the provisions of this Act and the circumstances of the case, the court, deems just,— (a) where the court is satisfied that there is no sufficient evidence to ascertain the rent at which the premises were let in any one of the cases mentioned in paragraphs (i) and (ii) of sub-clause (b) of clause (14) of section 7; or (b) where by reasons of the premises having been let at one time as a whole or in parts and at another time, in parts or as a whole, or for any other reasons; or (c) where any premises have been or are let rent-free or, at a nominal rent; or for some consideration in addition to rent; or (d) where there is any dispute between the landlord and the tenant regarding the amount of standard rent.",PDF:eng_maharashtra_rent_control_ac.pdf
Simplify this clause,"(2) If there is any dispute between the landlord and the tenant regarding the amount of permitted increase, the court may determine such amount.",PDF:eng_maharashtra_rent_control_ac.pdf
Simplify this clause,"(3) If any application for fixing the standard rent or for determining the permitted increase is made by a tenant,— (a) the court shall forthwith specify the amount of rent, or permitted increase which are to be deposited in court by the tenant, and make an order directing the tenant to deposit such amount in court or, at the option of the tenant, make an order to pay to the landlord such amount thereof as the court may specify pending the final decision of the application.",PDF:eng_maharashtra_rent_control_ac.pdf
Simplify this clause,"A copy of the order shall be served upon the landlord; (b) out of any amount deposited in the court under clause (a), the court may make an order for payment of such reasonable sum to the landlord towards payment of the rent or increases due to him as it thinks fit; (c) if the tenant fails to deposit such amount or, as the case may be, to pay such amount thereof to the landlord, his application shall be dismissed.",PDF:eng_maharashtra_rent_control_ac.pdf
Simplify this clause,"(4) (a) Where at any stage of a suit for recovery of rent, whether with or without a claim for possession of the premises, the court is satisfied that the rent is excessive and standard rent should be fixed, the court may, and in any other case, if it appears to the court that it is just and proper to make such an order, the court may make an order directing the tenant to deposit in court forthwith such amount of the rent as the court considers to be reasonable due to the landlord, or at the option of the tenant, an order directing him to pay to the landlord such amount thereof as the court may specify.",PDF:eng_maharashtra_rent_control_ac.pdf
Simplify this clause,"(b) The court may further make an order directing the tenant to deposit in court periodically such amount as it considers proper as interim standard rent, or at the option of the tenant, an order to pay to the landlord, such amount thereof as the court may specify, during the pendency of the suit.",PDF:eng_maharashtra_rent_control_ac.pdf
